year,division,team,wins,losses,win_pct,games_back,postseason_result
2026,NL East,Atlanta Braves,84,57,.596,0.0,NL Champions; NLCS lost to Dodgers
2026,NL East,New York Mets,79,62,.560,5.0,NLDS
2026,NL East,Philadelphia Phillies,74,67,.525,10.0,NLDS
2026,NL East,Miami Marlins,71,71,.500,13.5,—
2026,NL East,Washington Nationals,67,76,.469,18.0,—
2026,NL Central,Milwaukee Brewers,88,54,.620,0.0,NL Champions; NLCS lost to Dodgers
2026,NL Central,Chicago Cubs,80,62,.563,8.0,NLDS
2026,NL Central,St. Louis Cardinals,71,71,.500,17.0,—
2026,NL Central,Pittsburgh Pirates,70,72,.493,18.0,—
2026,NL Central,Cincinnati Reds,67,74,.475,20.5,—
2026,NL West,Los Angeles Dodgers,84,57,.596,0.0,NL Champions; NLDS
2026,NL West,San Diego Padres,74,67,.525,10.0,NLDS
2026,NL West,Arizona Diamondbacks,74,68,.521,10.5,NLDS
2026,NL West,San Francisco Giants,58,84,.408,26.5,—
2026,NL West,Colorado Rockies,54,87,.383,30.0,—
