team,franchise_name,wins,losses,win_pct,games_played
San Francisco Giants,San Francisco Giants,11680,10184,.534,22027
Los Angeles Dodgers,Los Angeles Dodgers,11609,10194,.532,21942
Chicago Cubs,Chicago Cubs,11499,10899,.513,22559
Atlanta Braves,Atlanta Braves,11274,11092,.504,22520
Cincinnati Reds,Cincinnati Reds,11084,10919,.504,22142
Pittsburgh Pirates,Pittsburgh Pirates,10980,10982,.500,22102
St. Louis Cardinals,St. Louis Cardinals,10654,10125,.513,20910
Philadelphia Phillies,Philadelphia Phillies,10382,11454,.475,21951
New York Mets,New York Mets,4963,5304,.483,10275
Cleveland Guardians,Cleveland Guardians,10012,9513,.513,19616
Detroit Tigers,Detroit Tigers,9827,9719,.503,19639
Chicago White Sox,Chicago White Sox,9728,9781,.499,19612
Baltimore Orioles,Baltimore Orioles,9264,10244,.475,19618
Boston Red Sox,Boston Red Sox,10121,9401,.518,19605
Minnesota Twins,Minnesota Twins,9396,10121,.481,19626
Oakland Athletics,Oakland Athletics,9461,10031,.485,19579
Houston Astros,Houston Astros,5169,5109,.503,10283
Los Angeles Angels,Los Angeles Angels,5146,5293,.493,10442
Texas Rangers,Texas Rangers,4969,5455,.477,10430
Milwaukee Brewers,Milwaukee Brewers,4493,4649,.491,9146
Washington Nationals,Washington Nationals,4398,4741,.481,9143
Kansas City Royals,Kansas City Royals,4353,4782,.477,9137
San Diego Padres,San Diego Padres,4291,4856,.469,9149
Toronto Blue Jays,Toronto Blue Jays,3926,3927,.500,7856
Colorado Rockies,Colorado Rockies,2403,2357,.505,4760
