team,wins,losses,win_pct,GB
Philadelphia Phillies,191,133,.590,0.0
Los Angeles Dodgers,191,133,.590,0.0
Milwaukee Brewers,190,134,.586,1.0
San Diego Padres,183,141,.565,7.5
Chicago Cubs,175,149,.540,13.5
New York Mets,172,152,.531,16.5
Arizona Diamondbacks,169,155,.522,18.5
Atlanta Braves,165,159,.509,20.5
San Francisco Giants,161,163,.497,24.0
St. Louis Cardinals,161,163,.497,24.0
Cincinnati Reds,160,164,.494,24.5
Pittsburgh Pirates,147,177,.454,33.5
Miami Marlins,141,183,.435,38.0
Washington Nationals,137,187,.423,42.5
Colorado Rockies,104,220,.321,74.5
