year,division,champion,wins,losses,win_pct,ws_result
1969,NL East,New York Mets,100,62,.617,WS Champions vs Baltimore
1969,NL West,Atlanta Braves,93,69,.574,NLCS Lost to NYM
1970,NL East,Atlanta Braves,93,69,.574,WS Lost to Baltimore
1970,NL West,Cincinnati Reds,102,60,.630,WS Lost to Baltimore
1971,NL East,Pittsburgh Pirates,97,65,.599,WS Champions vs Baltimore
1971,NL West,San Francisco Giants,90,72,.556,NLCS Lost to Pittsburgh
1972,NL East,Pittsburgh Pirates,96,59,.619,WS Lost to Oakland
1972,NL West,Cincinnati Reds,95,59,.616,WS Lost to Oakland
1973,NL East,New York Mets,82,79,.509,WS Lost to Oakland
1973,NL West,Cincinnati Reds,99,63,.611,WS Lost to Oakland
1974,NL East,Pittsburgh Pirates,88,74,.543,WS Lost to Oakland
1974,NL West,Los Angeles Dodgers,102,60,.630,WS Lost to Oakland
1975,NL East,Pittsburgh Pirates,92,69,.571,WS Lost to Boston
1975,NL West,Cincinnati Reds,108,54,.667,WS Champions vs Boston
1976,NL East,Philadelphia Phillies,101,59,.630,NLCS Lost to Cincinnati
1976,NL West,Cincinnati Reds,102,60,.630,WS Champions vs NYY
1977,NL East,Philadelphia Phillies,101,58,.636,NLCS Lost to LA Dodgers
1977,NL West,Los Angeles Dodgers,94,68,.580,WS Lost to NYY
1978,NL East,Philadelphia Phillies,90,72,.556,NLCS Lost to LA Dodgers
1978,NL West,Los Angeles Dodgers,95,67,.586,WS Lost to NYY
1979,NL East,Pittsburgh Pirates,98,64,.605,WS Champions vs Baltimore
1979,NL West,Houston Astros,89,73,.898,NLCS Lost to Pittsburgh
1980,NL East,Philadelphia Phillies,91,71,.562,WS Lost to KC
1980,NL West,Houston Astros,93,70,.570,WS Lost to KC
1981,NL East,Los Angeles Dodgers,63,47,.573,WS Champions vs NYY
1981,NL West,Los Angeles Dodgers (1st half),N/A,N/A,N/A,NL Champions (won WS)
1982,NL East,St. Louis Cardinals,92,70,.568,WS Champions vs Milwaukee
1982,NL West,Atlanta Braves,89,73,.549,NLCS Lost to St. Louis
1983,NL East,Philadelphia Phillies,90,72,.556,WS Lost to Baltimore
1983,NL West,Los Angeles Dodgers,91,71,.562,NLCS Lost to Philadelphia
1984,NL East,Chicago Cubs,96,65,.596,WS Lost to Detroit
1984,NL West,San Diego Padres,89,73,.549,NLCS Lost to Chicago
1985,NL East,St. Louis Cardinals,101,61,.623,WS Lost to KC
1985,NL West,Los Angeles Dodgers,95,67,.586,NLCS Lost to St. Louis
1986,NL East,New York Mets,108,54,.667,WS Champions vs Boston
1986,NL West,Houston Astros,96,66,.593,NLCS Lost to NY Mets
1987,NL East,St. Louis Cardinals,95,67,.586,WS Lost to Minnesota
1987,NL West,San Francisco Giants,90,72,.556,WS Lost to Minnesota
1988,NL East,New York Mets,100,60,.625,WS Lost to LA Dodgers
1988,NL West,Los Angeles Dodgers,94,67,.583,WS Champions vs Oakland
1989,NL East,Chicago Cubs,93,69,.574,WS Lost to Oakland
1989,NL West,San Francisco Giants,92,70,.568,WS Lost to Oakland
1990,NL East,Pittsburgh Pirates,95,67,.586,WS Lost to Cincinnati
1990,NL West,Cincinnati Reds,91,71,.562,WS Champions vs Oakland
1991,NL East,Pittsburgh Pirates,98,64,.605,NLCS Lost to Atlanta
1991,NL West,Atlanta Braves,94,70,.574,WS Lost to Minnesota
1992,NL East,Pittsburgh Pirates,96,66,.593,WS Lost to Toronto
1992,NL West,Atlanta Braves,98,64,.605,WS Lost to Toronto
1993,NL East,Philadelphia Phillies,97,65,.599,WS Lost to Toronto
1993,NL West,Atlanta Braves,104,58,.642,NLCS Lost to Philadelphia
1994,NL East,Montreal Expos,74,40,.649,Season Cancelled (strike)
1994,NL Central,Cincinnati Reds,N/A,N/A,N/A,Season Cancelled (strike)
1994,NL West,Los Angeles Dodgers,58,56,.509,Season Cancelled (strike)
1995,NL East,Atlanta Braves,90,72,.556,WS Lost to Cleveland
1995,NL Central,Cincinnati Reds,85,59,.590,NLCS Lost to Atlanta
1995,NL West,Los Angeles Dodgers,78,66,.542,NLCS Lost to Atlanta
1996,NL East,Atlanta Braves,96,66,.593,WS Lost to NYY
1996,NL Central,St. Louis Cardinals,88,74,.543,NLCS Lost to Atlanta
1996,NL West,San Diego Padres,91,71,.562,NLDS Lost to St. Louis
1997,NL East,Atlanta Braves,101,61,.623,NLCS Lost to Florida
1997,NL Central,Houston Astros,84,78,.519,NLDS Lost to Philadelphia
1997,NL West,San Francisco Giants,90,72,.556,NLDS Lost to Florida
1998,NL East,Atlanta Braves,106,56,.654,NLCS Lost to San Diego
1998,NL Central,Houston Astros,102,60,.630,NLDS Lost to San Diego
1998,NL West,San Diego Padres,98,64,.605,WS Lost to NYY
1999,NL East,Atlanta Braves,103,59,.636,NLCS Lost to NY Mets
1999,NL Central,Houston Astros,97,65,.599,NLDS Lost to NY Mets
1999,NL West,Arizona Diamondbacks,100,62,.617,NLDS Lost to NY Mets
2000,NL East,Atlanta Braves,95,67,.586,NLCS Lost to NY Mets
2000,NL Central,St. Louis Cardinals,95,67,.586,NLCS Lost to NY Mets
2000,NL West,San Francisco Giants,97,65,.599,NLDS Lost to NY Mets
2001,NL East,Atlanta Braves,88,74,.543,NLCS Lost to Arizona
2001,NL Central,Houston Astros,93,69,.574,NLDS Lost to Atlanta
2001,NL West,Arizona Diamondbacks,92,70,.568,WS Champions vs NYY
2002,NL East,Atlanta Braves,101,59,.631,NLDS Lost to San Francisco
2002,NL Central,St. Louis Cardinals,97,65,.599,NLCS Lost to San Francisco
2002,NL West,San Francisco Giants,100-62,—,—,WS Lost to Anaheim
2003,NL East,Atlanta Braves,101,61,.623,NLCS Lost to Florida
2003,NL Central,Chicago Cubs,88,74,.543,NLDS Lost to Florida
2003,NL West,San Francisco Giants,100-62,—,—,NLCS Lost to Florida
2004,NL East,Atlanta Braves,96-66,—,—,NLDS Lost to St. Louis
2004,NL Central,Houston Astros,92-70,—,—,NLCS Won vs STL; WS Lost to Boston
2004,NL West,Los Angeles Dodgers,93-69,—,—,NLDS Lost to Houston
2005,NL East,Atlanta Braves,90-72,—,—,NLDS Lost to Houston
2005,NL Central,Houston Astros,89-73,—,—,NLCS Won vs STL; WS Lost to Chicago
2005,NL West,San Diego Padres,82-80,—,—,NLDS Lost to St. Louis
2006,NL East,New York Mets,97-65,—,—,NLCS Lost to St. Louis
2006,NL Central,St. Louis Cardinals,83-78,—,—,WS Champions vs Detroit
2006,NL West,San Diego Padres,88-74,—,—,NLDS Lost to St. Louis
2007,NL East,Philadelphia Phillies,89-73,—,—,NLCS Lost to Colorado
2007,NL Central,Chicago Cubs,85-77,—,—,NLDS Lost to Arizona
2007,NL West,Colorado Rockies,90-73,.552,WS Lost to Boston
2008,NL East,Philadelphia Phillies,97-64,.602,WS Champions vs Tampa Bay
2008,NL Central,Chicago Cubs,97-64,.602,NLDS Lost to LA Dodgers
2008,NL West,Los Angeles Dodgers,83-77,.481,NLCS Lost to Philadelphia
2009,NL East,Philadelphia Phillies,93-69,.574,WS Lost to NYY
2009,NL Central,St. Louis Cardinals,91-71,.562,NLDS Lost to LA Dodgers
2009,NL West,Los Angeles Dodgers,95-67,.586,WS Lost to NYY
2010,NL East,Philadelphia Phillies,97-65,.599,NLDS Lost to Cincinnati
2010,NL Central,Cincinnati Reds,91-71,.562,NLCS Lost to San Francisco
2010,NL West,San Francisco Giants,92-70,.568,WS Champions vs Texas
2011,NL East,Philadelphia Phillies,90-72,.556,NLDS Lost to St. Louis
2011,NL Central,St. Louis Cardinals,90-72,.556,WS Champions vs Texas
2011,NL West,San Francisco Giants,86-76,.531,NLDS Lost to Milwaukee
2012,NL East,Washington Nationals,98-64,.605,NLDS Lost to St. Louis
2012,NL Central,St. Louis Cardinals,88-76,.537,NLDS Lost to San Francisco
2012,NL West,San Francisco Giants,94-68,.580,WS Champions vs Detroit
2013,NL East,Atlanta Braves,96-66,.593,NLDS Lost to St. Louis
2013,NL Central,St. Louis Cardinals,92-71,.565,WS Champions vs Boston
2013,NL West,Atlanta Braves,94-68,.580,NLCS Lost to St. Louis
2014,NL East,Atlanta Braves,88-74,.543,NLDS Lost to Washington
2014,NL Central,Pittsburgh Pirates,88-74,.543,NLDS Lost to San Francisco
2014,NL West,San Francisco Giants,88-74,.543,WS Champions vs Kansas City
2015,NL East,New York Mets,90-72,.556,WS Lost to Kansas City
2015,NL Central,St. Louis Cardinals,100-62,.617,NLCS Lost to Kansas City
2015,NL West,Los Angeles Dodgers,92-70,.568,NLDS Lost to New York
2016,NL East,Washington Nationals,95-67,.586,NLDS Lost to Los Angeles
2016,NL Central,Cincinnati Reds,83-79,.512,NLDS Lost to San Francisco
2016,NL West,Los Angeles Dodgers,91-71,.562,NLDS Lost to Chicago
2017,NL East,Washington Nationals,95-67,.586,WS Lost to Houston
2017,NL Central,Chicago Cubs,92-70,.568,WS Champions vs Cleveland
2017,NL West,Los Angeles Dodgers,104-58,.642,WS Lost to Houston
2020 (60-game),NL East,Atlanta Braves,35-25,.583,NLCS Lost to LA Dodgers
2020 (60-game),NL Central,Chicago Cubs,34-26,.567,NLDS Lost to Miami
2020 (60-game),NL West,Los Angeles Dodgers,43-17,.717,WS Champions vs Tampa Bay
2021,NL East,Atlanta Braves,88-73,.547,WS Champions vs Houston
2021,NL Central,Houston Astros,95-67,.586,NLCS Lost to Atlanta
2021,NL West,San Francisco Giants,107-55,.660,NLDS Lost to LA Dodgers
2022,NL East,Atlanta Braves,104-58,.642,NLDS Lost to Philadelphia
2022,NL Central,St. Louis Cardinals,93-69,.574,NLDS Lost to Philadelphia
2022,NL West,Los Angeles Dodgers,111-51,.685,NLCS Lost to Philadelphia
2023,NL East,Atlanta Braves,104-58,.642,NLCS Lost to Arizona
2023,NL Central,Milwaukee Brewers,92-70,.568,NLDS Lost to Arizona
2023,NL West,Los Angeles Dodgers,100-62,.617,NLDS Lost to Arizona
2024,NL East,Philadelphia Phillies,95-67,.586,NLCS Lost to LA Dodgers
2024,NL Central,Milwaukee Brewers,93-69,.574,NLDS Lost to NY Mets
2024,NL West,Los Angeles Dodgers,98-64,.605,WS Champions vs NYY
2025,NL East,Philadelphia Phillies,96-66,.593,NLCS Lost to LA Dodgers
2025,NL Central,Milwaukee Brewers,97-65,.599,NLCS Lost to LA Dodgers
2025,NL West,Los Angeles Dodgers,93-69,.574,WS Champions vs Toronto
