year,franchise_name,current_name,era,regular_season_wins,regular_season_losses,world_series_result,notes
1876,Chicago White Stockings,Chicago Cubs,Pre-Division,52,14,N/A,First NL champion; 11.5 games ahead of Hartford Dark Blues
1877,Boston Red Stockings,Atlanta Braves,Pre-Division,N/A,N/A,N/A,Boston Red Caps
1878,Boston Red Stockings,Atlanta Braves,Pre-Division,N/A,N/A,N/A,Boston Red Caps
1879,Providence Grays,Defunct,Pre-Division,N/A,N/A,N/A,
1880,Chicago White Stockings,Chicago Cubs,Pre-Division,N/A,N/A,N/A,
1881,Chicago White Stockings,Chicago Cubs,Pre-Division,N/A,N/A,N/A,
1882,Chicago White Stockings,Chicago Cubs,Pre-Division,N/A,N/A,N/A,
1883,Boston Beaneaters,Atlanta Braves,Pre-Division,N/A,N/A,N/A,
1884,Providence Grays,Defunct,Pre-Division,N/A,N/A,N/A,
1885,Chicago White Stockings,Chicago Cubs,Pre-Division,N/A,N/A,N/A,
1886,Chicago White Stockings,Chicago Cubs,Pre-Division,N/A,N/A,N/A,
1887,Detroit Wolverines,Defunct,Pre-Division,N/A,N/A,N/A,
1888,New York Giants,San Francisco Giants,Pre-Division,N/A,N/A,N/A,
1889,New York Giants,San Francisco Giants,Pre-Division,N/A,N/A,N/A,
1890,Brooklyn Bridegrooms,LA Dodgers,Pre-Division,N/A,N/A,N/A,
1891,Boston Beaneaters,Atlanta Braves,Pre-Division,N/A,N/A,N/A,
1892,Boston Beaneaters,Atlanta Braves,Pre-Division,N/A,N/A,N/A,
1893,Boston Beaneaters,Atlanta Braves,Pre-Division,N/A,N/A,N/A,
1894,Baltimore Orioles,Defunct,Pre-Division,N/A,N/A,N/A,
1895,Baltimore Orioles,Defunct,Pre-Division,N/A,N/A,N/A,
1896,Baltimore Orioles,Defunct,Pre-Division,N/A,N/A,N/A,
1897,Boston Beaneaters,Atlanta Braves,Pre-Division,N/A,N/A,N/A,
1898,Boston Beaneaters,Atlanta Braves,Pre-Division,N/A,N/A,N/A,
1899,Brooklyn Superbas,LA Dodgers,Pre-Division,N/A,N/A,N/A,
1900,Brooklyn Superbas,LA Dodgers,Pre-Division,N/A,N/A,N/A,
1901,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,N/A,N/A,Lost WS to Boston Americans,
1902,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,N/A,N/A,Lost WS to Philadelphia Athletics,
1903,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,91,56,Lost WS 4-3 to Boston Americans,First modern World Series
1904,New York Giants,San Francisco Giants,Pre-Division,N/A,N/A,N/A,No World Series (New York Giants refused to play)
1905,New York Giants,San Francisco Giants,Pre-Division,105,48,Won WS 4-1 vs Philadelphia Athletics,
1906,Chicago Cubs,Chicago Cubs,Pre-Division,116,36,Lost WS 4-2 to Chicago White Sox,Record 116 wins (NL); .763 win%
1907,Chicago Cubs,Chicago Cubs,Pre-Division,107,45,Won WS 4-0 vs Detroit Tigers,
1908,Chicago Cubs,Chicago Cubs,Pre-Division,99,55,Won WS 4-1 vs Detroit Tigers,Started 108-year championship drought
1909,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,110,42,Won WS 4-3 vs Detroit Tigers,
1910,Chicago Cubs,Chicago Cubs,Pre-Division,104,50,Lost WS 4-1 to Philadelphia Athletics,
1911,New York Giants,San Francisco Giants,Pre-Division,103,50,Lost WS 4-2 to Philadelphia Athletics,
1912,New York Giants,San Francisco Giants,Pre-Division,103,48,Won WS 4-3 vs Boston Red Sox,
1913,New York Giants,San Francisco Giants,Pre-Division,101,48,Lost WS 4-1 to Philadelphia Athletics,
1914,Boston Braves,Atlanta Braves,Pre-Division,94,59,Lost WS 4-0 to Philadelphia Athletics,Sweep
1915,Philadelphia Phillies,Philadelphia Phillies,Pre-Division,90,62,Lost WS 4-1 to Boston Red Sox,
1916,Brooklyn Robins,LA Dodgers,Pre-Division,94,60,Lost WS 4-1 to Boston Red Sox,
1917,New York Giants,San Francisco Giants,Pre-Division,98,56,Lost WS 4-2 to Chicago White Sox,
1918,Chicago Cubs,Chicago Cubs,Pre-Division,84,45,Lost WS 4-1 to Boston Red Sox,
1919,Cincinnati Reds,Cincinnati Reds,Pre-Division,96,44,Won WS 5-3 vs Chicago White Sox,Black Sox Scandal aftermath
1920,Brooklyn Robins,LA Dodgers,Pre-Division,93,61,Lost WS 5-2 to Cleveland Indians,
1921,New York Giants,San Francisco Giants,Pre-Division,94,59,Won WS 5-3 vs New York Yankees,First of 4 straight pennants
1922,New York Giants,San Francisco Giants,Pre-Division,93,61,Won WS 4-0 vs New York Yankees,
1923,New York Giants,San Francisco Giants,Pre-Division,95,58,Won WS 4-2 vs New York Yankees,
1924,New York Giants,San Francisco Giants,Pre-Division,93,60,Lost WS 4-3 to Washington Senators,
1925,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,95,58,Won WS 4-3 vs Washington Senators,
1926,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,89,65,Won WS 4-3 vs New York Yankees,
1927,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,94,60,Lost WS 4-0 to New York Yankees,Yankees Murderers' Row
1928,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,95,59,Lost WS 4-0 to New York Yankees,
1929,Chicago Cubs,Chicago Cubs,Pre-Division,98,54,Lost WS 4-1 to Philadelphia Athletics,
1930,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,92,62,Lost WS 4-2 to Philadelphia Athletics,
