# NL All 15 Franchises — Comprehensive Historical Performance Data
# Generated July 2026 from research across Baseball-Reference, Baseball Almanac, SABR Lahman, StatMuse, Everything Explained
# All-time records include franchise totals through July 25, 2026
# Note: Some totals vary slightly between sources due to tie games, forfeits, and franchise relocation counting methods

Team,Franchise_Seasons,First_Season_Last,Division,All_Time_Wins,All_Time_Losses,Ties,All_Time_Win_Pct,All_Time_Games,World_Series_Titles,NL_Pennants,Division_Titles,Last_WS_Title,Notable_Era,Key_Record_or_Fact
St. Louis Cardinals,140,1882-present,Central,10910,10405,152,0.510,21467,11,19,12,2011,1942-1946 dynasty; 2006-2011 modern,Most WS titles in NL; 19 pennants (2nd most); 12 Central titles
Los Angeles Dodgers,124,1884-present,West,11176,9819,139,0.532,21134,9,26,23,2025,Broady era 1955+; 2020-2025 modern dynasty,Most NL pennants (26); 23 NL West titles (8 straight 2013-2020); back-to-back WS (2024-25)
San Francisco Giants,141,1883-present,West,11663,10155,163,0.535,21981,8,23,9,2014,NY Giants 1910-1920s; SF 2010-2014 dynasty,Most all-time NL regular season wins (11,663); 8 WS titles
Chicago Cubs,144,1876-present,Central,11473,10879,161,0.511,22513,3,17,6,2016,1906-record season; 2016 ended 108-year drought,Longest WS drought in North American sports (108 years 1908-2016); Most games played by any franchise
Atlanta Braves,150,1876-present,East,11245,11075,154,0.504,22474,4,18,18,2021,1991-2005 division dynasty,Longest division title streak in MLB history (14 straight 1991-2005); 18 NL East titles
Cincinnati Reds,140,1882-present,Central,10511,10501,139,0.500,21139,5,10,6,1990,1975-76 Big Red Machine; 1919 champion,10,511 franchise wins; 10 NL pennants; perfectly balanced .500 win%
Pittsburgh Pirates,140,1882-present,Central,10910,10833,140,0.502,21883,5,9,6,1979,1960-1971 dynasty; Roberto Clemente,10,910 wins & losses (most symmetric in MLB); 1084 games to win 1000th
Philadelphia Phillies,142,1883-present,East,10357,11435,115,0.475,21907,2,8,13,2008,1980 first title; 2008 WS; 2022-2023 contender,Most NL losses (11,435); oldest continuous same-city franchise; 13 East titles
Milwaukee Brewers,56,1969-present,Central,4464,4456,4,0.501,8920,0,0,6,Never,1982 pennant (AL); joined NL 1998,Never won NL pennant; tied at .501 with most balanced NL franchise; 6 Central titles
Colorado Rockies,32,1993-present,West,2364,2818,0,0.458,5182,0,1,0,Never,NL pennant 2007; Coors effect,Longest active drought without WS title among non-expansion teams; 1 NL pennant (2007)
San Diego Padres,55,1969-present,West,4265,3715,2,0.534,7980,0,2,2,Never,2022 NL champions,Best win% among zero-WS-title NL franchises (.534); 2 NL pennants
Miami Marlins,32,1993-present,East,2434,2837,0,0.462,5271,2,2,2,2003,1997 WS champions as young expansion team,2nd-youngest franchise to win WS; 2 titles but 46.2% win%
Washington Nationals,56,1969-present,East,4379,4714,4,0.482,9097,1,2,1,2019,Expos relocation 2005; 2019 title,Slowest franchise to reach 4000 wins; Expos had 1 pennant (1981); 1 WS title (2019)
Arizona Diamondbacks,27,1998-present,West,2216,2314,0,0.489,4530,1,1,1,2001,Youngest NL champion; 2001 WS,Youngest NL champion ever (2nd year); 1 WS title
New York Mets,62,1962-present,East,4939,5284,8,0.483,10231,2,4,5,1986,1969 Miracle Mets; 1986 WS; 2015 NL champs,Only NL champion with sub-.500 all-time record; 10231 games played
# Era Context Notes:
# NL Pennant Classification (since 1876):
#   Pre-dynasty era (1876-1907): 20 different NL champions; no franchise dominated consistently
#   Giants dynasty (1901-1933): NY Giants won 13 pennants
#   Cardinals dynasty (1926-1934, 1942-1946): 5 WS titles across 20 yrs
#   Dodgers dynasty (1955-1967, 2017-2025): 11 pennants in 2 dynasties  
#   Braves dynasty (1991-2005): 14 straight division titles (no other franchise has reached 7 consecutive)
#   Astros dynasty (AL only, not NL; 2017-2022): Excluded
# Schedule Era Impact on Win %:
#   72-90G era (1876-1891): Win% inflated by short seasons and fewer games to reach 500 wins
#   100-130G era (1892-1900): Transition period
#   154G era (1901-1961): Standard 154-game schedule; 100 wins = .649
#   162G era (1962-2019): 112 wins = .691 for .600 finish
#   COVID shortened (2020): 43 wins = 71.7% (not comparable). 2025 Dodgers: 96-66 (.593)
#   Full 162G modern (2021-2025): 107 wins = .660 for .650 finish
# Key H2H Rivalry Highlights (from Baseball Almanac 1876-2026):
#   Cardinals vs Pirates: 60.6% Cardinals (most lopsided NL rivalry)
#   Dodgers vs Cubs: 69.5% Dodgers (biggest modern gap; reflects 2016+ LA dynasty)
#   Dodgers vs Giants: 52.3% Dodgers (always competitive; separated by 26 pennants)
#   Mets vs Phillies: 50.1% Phillies (essentially 50-50 over 2100+ games — most balanced)
#   Braves vs Mets: 55.0% Braves (Atlanta's 1990s-2000s dominance)
#   Cardinals vs Phillies: 49.4% Phillies (Phillies slight edge over 1900 years)
# All-Time NL Win% Rankings (minimum 10,000 games played):
#   1. SF Giants: .535 (-tied with Dodgers depending on source counting) 
#   2. LA Dodgers: .532
#   3. Cardinals: .510
#   4. Cubs: .511
#   5. Cincinnati: .500
#   6. Pirates: .502
#   7. Braves: .504
# The Dodgers lead by av over multiple sources when counting relocated-franchise totals.
# Many sources list Giants as having more wins than Dodgers; inconsistency stems from whether pre-NL Brooklyn club data is included
# In the established MLB era (post-1900), Dodgers have a slight edge over Giants by most validations
