franchise,first_season,division,era,total_games,wins,losses,win_pct,pennants,ws_titles,playoff_appearances,last_pennant,last_ws,current_division
San Francisco Giants,1883,West,Founding,21722,11663,10059,0.535,23,8,17,2014,2014,West
Los Angeles Dodgers,1884,West,Founding,21722,11586,10136,0.531,26,8,23,2025,2025,West
St. Louis Cardinals,1882,Central,Founding,22486,11413,11073,0.509,19,11,20,2024,2011,Central
Chicago Cubs,1876,Central,Founding,22222,11474,10748,0.516,17,3,19,2016,2016,Central
Cincinnati Reds,1882,Central,Founding,22222,11060,11162,0.498,10,5,15,1995,1990,Central
Atlanta Braves,1876,East,Founding,22070,11245,10825,0.504,18,4,24,2021,2021,East
Pittsburgh Pirates,1882,Central,Founding,21820,10959,10861,0.501,9,5,17,1979,1979,Central
Philadelphia Phillies,1883,East,Founding,22222,10357,11865,0.466,8,2,16,2025,2008,East
New York Mets,1962,East,Expansion,9520,4899,4621,0.514,2,2,7,2015,2015,East
Washington Nationals,1969,East,Expansion,8230,4379,3851,0.532,0,0,4,-,-,East
San Diego Padres,1969,West,Expansion,7980,4265,3715,0.533,0,0,5,-,-,West
Milwaukee Brewers,1969,Central,Expansion,8920,4464,4456,0.503,0,0,4,-,-,Central
Miami Marlins,1993,East,Expansion,4280,2435,1845,0.569,2,2,4,2003,2003,East
Colorado Rockies,1993,West,Expansion,4760,2403,2357,0.505,0,0,3,-,-,West
Arizona Diamondbacks,1998,West,Expansion,4160,2216,1944,0.532,1,1,4,2001,2001,West
