team,franchise_start,games,wins,losses,ties,win_pct,nl_pennants,ws_titles,last_ws_title,last_pennant,division_titles,current_division,notes
St. Louis Cardinals,1882,20863,10633,10099,131,.513,19,11,2011,2019,19,NL Central,Most WS titles in NL. 10+ titles across 4 defunct cities
Los Angeles Dodgers,1884,21115,11176,9819,120,.532,26,9,2025,2025,24,NL West,Brooklyn 1884-1957: 4 pennants 1-8 WS. LA 1958-present: 7 pennants 2-9 WS
San Francisco Giants,1883,21981,11663,10155,163,.535,23,8,2014,2012,23,NL West,NY Giants 1883-1957: 5 pennants 3-5. SF Giants 1958-present: 18 pennants 5-8
Cincinnati Reds,1882,21139,10511,10501,127,.500,10,5,1990,1979,9,NL Central,Back-to-back 1975-76. 1990 sweep. Last NL repeat champion
Pittsburgh Pirates,1882,21519,10724,10661,134,.501,9,5,1979,1979,9,NL Central,.714 WS win% (5-2) best among teams with 2+ WS appearances
Atlanta Braves,1871,22474,11245,11075,154,.504,17,4,2021,2023,18,NL East,14 straight division titles 1991-2005 (MLB record)
Chicago Cubs,1876,22513,11473,10879,161,.516,17,3,2016,2016,17,NL Central,108-year WS drought 1908-2016 — longest in North American pro sports
New York Mets,1962,10231,4939,5284,98,.483,5,2,1986,2015,6,NL East,1969 Miracle Mets; 1986 WS title after dramatic 7-game series
Philadelphia Phillies,1883,21907,10357,11435,115,.475,11,2,2008,2009,11,NL East,2008-09 surprise back-to-back pennants; 2008 WS beat Rays
Miami Marlins,1993,5271,2434,2837,0,.462,2,2,2003,2003,2,NL East,Youngest NL franchise. 2 WS titles in 6 seasons
Arizona Diamondbacks,1998,4530,2216,2314,0,.489,2,1,2001,2023,0,NL West,2001 WS in 7 games; 23 seasons to first title (longest for expansion)
Washington Nationals,1969,9097,4379,4714,104,.482,3,1,2019,2019,2,NL East,As Montreal Expos 1969-2004. 2019 WS title after 50+ years
Milwaukee Brewers,1969,8920,4464,4456,0,.503,0,0,N/A,N/A,0,NL Central,AL 1969-1997; NL Central since 1998. 0 WS titles
Colorado Rockies,1993,4760,2403,2357,0,.505,0,0,N/A,N/A,0,NL West,2007 WS only; 23 seasons without a title
San Diego Padres,1969,7980,4265,3715,0,.534,2,0,N/A,N/A,0,NL West,Twice in WS (1984 1998); 0 titles
