Team,FranchiseStart,Division,FullSeasons,Games,WinPct,WSChampionships,Pennants,LastPennant,LastWSTitle,DivisionTitles,FranchiseWins,H2HLeadHT,LongestDrought,StreakSince
San Francisco Giants,1883,West,143,21981,.535,8,23,2014,2014,9,11663,N/A (ties in H2H),2014-2026(12yr),13 games ahead of NL avg per season
Los Angeles Dodgers,1884,West,142,21722,.532,9,26,2025,2025,24,11176,vs Cubs 278-122 (.695),1915-2018(103yr),8 straight NL West (2018-2025)
St. Louis Cardinals,1882,Central,144,22486,.513,11,19,2024,2011,20,10633,vs Cubs 1315-1185 (.525),2011-2026(15yr),20 WS titles all-time
Chicago Cubs,1876,Central,150,22513,.516,3,17,2016,2016,18,11473,vs Cardinals 1185-1315 (.475),2016-2026(10yr),108-year drought ended; modern low
Atlanta Braves,1876,East,150,21844,.514,4,18,2021,2021,23,11245,vs Mets 290-237 (.550),2005-2017(12yr),14 consecutive division titles (1991-2005)
Cincinnati Reds,1882,Central,144,21738,.500,5,10,1995,1990,10,10511,vs Cardinals 1074-1315 (.450),1995-2026(31yr),Longest active NL pennant drought
Pittsburgh Pirates,1882,Central,144,21939,.501,5,9,1979,1979,9,10724,vs Cardinals 927-1423 (.395),1979-2026(47yr),Longest active NL WS drought
Philadelphia Phillies,1883,East,144,21814,.475,2,8,2009,2008,9,10357,vs Cards 956-940 (.504),2009-2026(17yr),All-time losses leader (11435)
Miami Marlins,1993,East,33,5271,.462,2,2,2003,2003,2,2434,vs Mets 265-277 (.491),2003-2026(23yr),Fastest expansion champs (2 games)
New York Mets,1962,East,64,10351,.483,2,2,1986,1986,5,4939,vs Phillies 1056-1054 (.500),1986-2026(40yr),Longest NL title drought (29 years)
Washington Nationals,1969,East,57,9097,.482,1,0,N/A,2019,0,4379,vs Phillies 812-789 (.507),2019-2026(7yr),1st DC title ever (2019)
San Diego Padres,1969,West,57,7980,.534,0,0,N/A,N/A,4,4265,vs Dodgers 712-856 (.454),N/A (no title),Best no-title franchise Win%
Milwaukee Brewers,1969,Central,57,8920,.503,0,0,N/A,N/A,3,4464,vs Cubs 967-876 (.525),N/A (no title),NL Central middle child
Colorado Rockies,1993,West,33,4760,.505,0,0,N/A,N/A,0,2403,vs Padres 1295-1130 (.534),N/A (no title),Only NL team w/o a pennant in NL
Arizona Diamondbacks,1998,West,28,4610,.488,1,1,2023,2001,1,2216,vs Giants 1043-987 (.515),2001-2026(25yr),Youngest NL team with a WS title
