event_year,event_type,team,detail,year
1876,NL Founded,,Established as first fully professional league,1876
1903,First World Series,Boston Americans (AL) 5-3 Pirates,First NL pennant winner to compete in WS,1903
1906,Record Wins,Chicago Cubs,116-36 (.763) — best NL season ever,1906
1908,Cubs Drought Begins,Chicago Cubs,Won WS but didn't return until 2016,1908
1914,Miracle Braves,Boston Braves,Went from last place July 4 to WS champions,1914
1926,First NL WS Title,St. Louis Cardinals,Beat NY Yankees 4-3 for first NL WS title,1926
1942,Cardinals Dynasty,St. Louis Cardinals,"First of 3 straight WS titles & 5 consecutive pennants",1942
1951,Bobby Thomson Shot,New York Giants,"Walk-off HR wins NL pennant — greatest moment in baseball",1951
1958,Franchise Relocations,Los Angeles Dodgers / SF Giants,Brooklyn moved to LA; NY Giants moved to SF,1958
1962,162-Game Schedule,All NL Teams,"162 games per season begins for both leagues",1962
1969,Nationals Miracle,New York Mets,100-win expansion team wins WS,1969
1969,NL Expansion,Montreal Expos / San Diego Padres,NL expands from 10 to 12 teams,1969
1975-76,Big Red Machine,Cincinnati Reds,Wins 2 consecutive WS titles (beat Yankees both years),1975
1981,Splits the Season,Los Angeles Dodgers,Wins WS despite 1981 split-season format,1981
1994,Players Strike,,MLB players' strike cancels postseason — no WS held,1994
1997,Youngest Champion,Florida Marlins,2nd-year expansion team wins WS in Game 7,1997
2001,Wild Card Magic,Arizona Diamondbacks,Wild card team wins dramatic Game 7 vs Yankees,2001
2006,Low-Win WS Winner,St. Louis Cardinals,Lowest regular-season wins (83) to win WS since 1973,2006
2016,End of 108-Year Drought,Chicago Cubs,Beat Indians 4-3; ended 108-year WS drought,2016
2020,COVID Shortened Season,LA Dodgers,Win WS in 60-game COVID season; 43-17 record,2020
2024-25,Dodgers Dynasty,LA Dodgers,Back-to-back WS titles; first NL team since Giants 1998-2000,2025
