Season,NLCS_Winner,NLCS_RunnerUp,WS_Winner,WS_RunnerUp,Notes
1969,New York Mets,Atlanta Braves,New York Mets,Baltimore Orioles,First NL title in franchise history
1970,Pittsburgh Pirates,Cincinnati Reds,Baltimore Orioles,Pittsburgh Pirates,
1971,Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,Baltimore Orioles,
1972,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Oakland Athletics,
1973,New York Mets,Cincinnati Reds,Oakland Athletics,New York Mets,
1974,Pittsburgh Pirates,Los Angeles Dodgers,Oakland Athletics,Los Angeles Dodgers,
1975,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Boston Red Sox,
1976,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,New York Yankees,
1977,Philadelphia Pirates,Los Angeles Dodgers,New York Yankees,Los Angeles Dodgers,
1978,Philadelphia Pirates,Pittsburgh Pirates,New York Yankees,Los Angeles Dodgers,
1979,Pittsburgh Pirates,Cincinnati Pirates,Pittsburgh Pirates,Baltimore Orioles,
1980,Philadelphia Phillies,Houston Astros,Philadelphia Phillies,Kansas City Royals,First WS title
1981,Los Angeles Dodgers,Montreal Expos,Los Angeles Dodgers,New York Yankees,
1982,St. Louis Cardinals,Houston Astros,St. Louis Cardinals,Milwaukee Brewers,
1983,Philadelphia Phillies,Los Angeles Dodgers,Baltimore Orioles,Philadelphia Phillies,
1984,Chicago Cubs,San Diego Padres,Detroit Tigers,San Diego Padres,
1985,St. Louis Cardinals,Los Angeles Dodgers,St. Louis Cardinals,Kansas City Royals,
1986,New York Mets,Los Angeles Dodgers,New York Mets,Boston Red Sox,
1987,St. Louis Cardinals,San Francisco Giants,Minnesota Twins,St. Louis Cardinals,
1988,Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,Oakland Athletics,
1989,Chicago Cubs,San Francisco Giants,Oakland Athletics,San Francisco Giants,
1990,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Oakland Athletics,
1991,Atlanta Braves,Pittsburgh Pirates,Minnesota Twins,Atlanta Braves,
1992,Atlanta Braves,Pittsburgh Pirates,Toronto Blue Jays,Atlanta Braves,
1993,Philadelphia Phillies,Atlanta Braves,Toronto Blue Jays,Philadelphia Phillies,
1994,No NLCS - players strike,No NLCS,No WS - players strike,No WS,
1995,Atlanta Braves,Cincinnati Reds,Atlanta Braves,Cleveland Indians,First WS title as Braves
1996,Atlanta Braves,St. Louis Cardinals,New York Yankees,Atlanta Braves,
1997,Florida Marlins,Atlanta Braves,Florida Marlins,Cleveland Indians,
1998,Atlanta Braves,San Diego Padres,New York Yankees,San Diego Padres,
1999,Atlanta Braves,New York Mets,New York Yankees,New York Mets,
2000,St. Louis Cardinals,Atlanta Braves,New York Yankees,New York Mets,
2001,Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,New York Yankees,
2002,San Francisco Giants,Atlanta Braves,Anaheim Angels,San Francisco Giants,
2003,Florida Marlins,Chicago Cubs,Florida Marlins,New York Yankees,
2004,St. Louis Cardinals,Houston Astros,Boston Red Sox,St. Louis Cardinals,
2005,St. Louis Cardinals,Colorado Rockies,Chicago White Sox,Houston Astros,
2006,St. Louis Cardinals,New York Mets,St. Louis Cardinals,Detroit Tigers,
2007,Colorado Rockies,Arizona Diamondbacks,Boston Red Sox,Colorado Rockies,
2008,Philadelphia Phillies,Los Angeles Dodgers,Philadelphia Phillies,Tampa Bay Rays,
2009,Philadelphia Phillies,Colorado Rockies,New York Yankees,Philadelphia Phillies,
2010,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,Texas Rangers,
2011,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,Texas Rangers,
2012,San Francisco Giants,St. Louis Cardinals,San Francisco Giants,Detroit Tigers,
2013,St. Louis Cardinals,Los Angeles Dodgers,Boston Red Sox,St. Louis Cardinals,
2014,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,Kansas City Royals,
2015,New York Mets,Los Angeles Dodgers,Kansas City Royals,New York Mets,
2016,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Cleveland Indians,
2017,Los Angeles Dodgers,Chicago Cubs,Houston Astros,Los Angeles Dodgers,
2018,Los Angeles Dodgers,Chicago Cubs,Boston Red Sox,Los Angeles Dodgers,
2019,Washington Nationals,St. Louis Cardinals,Washington Nationals,Houston Astros,
2020,Los Angeles Dodgers,Atlanta Dodgers,Los Angeles Dodgers,Tampa Bay Rays,COVID-19 shortened season
2021,Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,Houston Astros,
2022,Philadelphia Phillies,Los Angeles Dodgers,Houston Astros,Philadelphia Phillies,
2023,Philadelphia Phillies,Los Angeles Dodgers,Texas Rangers,Philadelphia Phillies,
2024,Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,New York Yankees,
