Team,WS_Titles,Pennants,Division_Titles,Franchise_Start,Last_WS_Title,Last_Pennant,All_Time_Wins,All_Time_Losses,Win_Pct,Championship_Yes_No
St. Louis Cardinals,11,19,20,1882,2011,2024,10633,10099,.513,Yes
Los Angeles Dodgers,9,26,24,1884,2025,2025,11176,9819,.532,Yes
San Francisco Giants,8,23,9,1883,2014,2014,11664,10156,.535,Yes
Cincinnati Reds,5,10,10,1876,1990,1995,10511,10501,.500,Yes
Pittsburgh Pirates,5,9,9,1882,1979,1979,10725,10662,.501,Yes
Atlanta Braves,4,18,23,1876,2021,2021,11246,11076,.504,Yes
Chicago Cubs,3,17,18,1876,2016,2016,11474,10880,.513,Yes
Miami Marlins,2,2,2,1993,2003,2003,2434,2837,.462,Yes
New York Mets,2,2,5,1962,1986,1986,4939,5284,.483,Yes
Philadelphia Phillies,2,8,9,1883,2008,2009,10358,11435,.475,Yes
Arizona Diamondbacks,1,1,1,1998,2001,2023,2216,2314,.489,Yes
Washington Nationals,1,0,0,1969,2019,N/A,4379,4714,.482,Yes
Milwaukee Brewers,0,0,3,1969,N/A,N/A,4464,4456,.503,No
Colorado Rockies,0,0,0,1993,N/A,N/A,2403,2357,.505,No
San Diego Padres,0,0,4,1969,N/A,N/A,4265,3715,.534,No
