season,team franchise,wins,losses,win_pct,postseason_result,notes
1876,Chicago White Stockings,52,14,.788,Champions,Founding NL season
1876,New York Mutuals,21,49,.300,6th place,Removed after 1 season
1876,St. Louis Brown Stockings,29,59,.333,7th place
1876,Philadelphia Athletics,14,45,.237,8th place
1876,Providence Grays,28,16,.636,3rd place
1877,Providence Grays,42,18,.700,Champions
1877,Boston Red Stockings,42,18,.700,Champions
1878,Boston Red Stockings,41,17,.707,Champions
1878,Cincinnati Reds,15,42,.263,6th place
1879,Providence Grays,59,25,.702,Champions
1880,Chicago White Stockings,67,17,.794,Champions
1881,Chicago White Stockings,56,28,.667,Champions
1882,Cincinnati Red Stockings,55,25,.688,Champions
1883,Providence Grays,58,26,.690,Champions
1884,Providence Grays,84,28,.750,Champions
1885,Chicago White Stockings,87,25,.777,Champions
1886,St. Louis Brown Stockings,90,34,.726,Champions
1887,Detroit Wolverines,79,45,.637,Champions
1888,New York Giants,84,47,.641,Champions
1889,New York Giants,83,43,.659,Champions
1890,Boston Reds,81,48,.629,Champions
1891,Boston Reds,87,51,.630,Champions
1891,Boston Beaneaters,87,51,.630,Champions
1892,Boston Beaneaters,102,48,.682,Champions
1892,Cleveland Spiders,92,92,.500,Champions (as half team)
1893,Boston Beaneaters,86,43,.667,Champions
1897,Boston Beaneaters,93,39,.704,Champions
1899,Boston Beaneaters,101,46,.687,Champions
1900,Pittsburgh Pirates,79,60,.568,Champions
1901,Pittsburgh Pirates,90,49,.646,Top of NL
1902,Pittsburgh Pirates,103,36,.741,Champions
1903,New York Giants,106,47,.693,Champions; first World Series
1904,New York Giants,106,47,.693,Champions; refused World Series
1905,New York Giants,105,48,.686,Champions; won WS 1905
1906,Chicago Cubs,116,36,.763,Champions; all-time NL season record
1907,Chicago Cubs,107,45,.704,Champions; won WS 1907
1908,Chicago Cubs,99,55,.643,Champions; won WS 1908
1909,Pittsburgh Pirates,110,42,.724,Champions; won WS 1909
1914,Boston Braves,94,58,.618,Champions; Miracle Braves
1919,Cincinnati Reds,96,44,.686,Champions; won WS 1919
1920,Brooklyn Robins,93,61,.604,Champions; 1st WS champion from NL
1921,New York Giants,94,59,.614,Champions
1922,New York Giants,92,56,.622,Champions
1925,Pittsburgh Pirates,95,58,.620,Champions; won WS 1925
1926,St. Louis Cardinals,89,65,.578,Champions; 1st Cardinals WS title
1928,St. Louis Cardinals,95,59,.617,Champions
1929,Chicago Cubs,98,54,.645,Champions
1930,St. Louis Cardinals,92,62,.597,Top NL; won WS 1931
1931,St. Louis Cardinals,101,53,.654,Champions; Gashouse Gang peak
1934,St. Louis Cardinals,105,49,.680,Champions; Gashouse Gang
1940,Cincinnati Reds,100,53,.654,Champions; won WS 1940
1942,St. Louis Cardinals,106,48,.688,Champions; won WS 1942
1944,St. Louis Cardinals,105,49,.682,Champions; Streetcar Series
1946,St. Louis Cardinals,96,58,.623,Champions; won WS 1946
1947,Brooklyn Dodgers,93,61,.604,Champions; Jackie Robinson debut
1951,New York Giants,98,59,.623,Champions; Shot Heard Round the World
1953,Brooklyn Dodgers,105,49,.681,Champions
1955,Brooklyn Dodgers,98,55,.641,Champions; won WS 1955
1959,Los Angeles Dodgers,88,68,.568,Champions; won WS 1959
1962,San Francisco Giants,103,62,.623,Champions; rival-powered NL
1963,Los Angeles Dodgers,99,63,.611,Champions; won WS 1963
1964,St. Louis Cardinals,93,69,.574,Champions; won WS 1964
1965,Los Angeles Dodgers,97,65,.599,Champions; won WS 1965
1966,Los Angeles Dodgers,95,67,.586,Champions
1967,St. Louis Cardinals,101,60,.627,Champions; won WS 1967
1968,St. Louis Cardinals,97,65,.599,Champions; Denny McLain / Cards lean
1969,New York Mets,100,62,.617,Champions; won WS; Miracle Mets
1970,Cincinnati Reds,102,60,.630,Champions; Big Red Machine begins
1975,Cincinnati Reds,108,54,.667,Champions; won WS 1975-76
1976,Cincinnati Reds,102,60,.630,Champions; won WS 1976
1980,Philadelphia Phillies,91,71,.562,Champions; won WS 1980
1981,Los Angeles Dodgers,63,47,.573,Champions; split-season; won WS 1981
1985,St. Louis Cardinals,101,61,.623,Champions; won WS 1985
1986,New York Mets,108,54,.667,Champions; won WS 1986
1990,Cincinnati Reds,91,71,.562,Champions; won WS 1990
1995,Atlanta Braves,90,54,.625,Champions; won WS 1995; dynasty begins
1998,San Diego Padres,98,64,.605,Champions; first NL West title post-Superstart
2001,Arizona Diamondbacks,92,70,.568,Champions; won WS 2001 vs Yankees
2006,St. Louis Cardinals,83,78,.516,Champions; lowest post-1933 Win% to win WS
2016,Chicago Cubs,103,58,.642,Champions; won WS; ended 108-year drought
