# NL Division Realignment Timeline (1876-2025)
# Source: MLB official records, Baseball Almanac

Year,Event,Details,Divisions,Teams_Affected,Impact
1876,NL Founded,8 charter teams; Chicago White Stockings first champion,None,8,Established the NL as first fully professional surviving league
1882,American Association formed,AA operated as rival league 1882-1891,None,0,AA teams sometimes drew NL fans; NL had to compete
1883,AA teams join NL,Providence, Cleveland join NL from AA,None,2,Expanded NL roster temporarily
1884,Union Association formed,Short-lived 3rd league; Universal joined NL,None,1,UA demonstrated need for competitive balance
1890,Players League formed,Another rival league; teams merged back,None,0,PL briefly competed with NL; some PL teams folded
1892,154-game schedule begins,Schedule standardization; end of 1st NL era,None,0,154-game format begins after协会 competition ends
1903,First World Series,AL vs NL format established; NY Giants win first WS,None,0,Marks transition to inter-league competition
1920,Known as Live Ball Era,Power-hitting surge; home runs increase dramatically,None,0,Rule changes affect gameplay dynamics
1944,Both NL teams in WS,Cardinals vs Cardinals; only time this happened,None,2,Cardinals were only NL team left (Boston & Brooklyn both eliminated)
1969,Divisions created (E/W),2-division format; League Championship Series introduced,E/W,10,Doubled NL playoff teams from 1 to 2; LCS added
1994,3 divisions + Wild Card,Expanded playoff format; 3 division winners + wild card,E/W/C,14,Wild Card introduced; first time 5 teams per division
1998,Brewers move to NL,SR Brewers switch from AL Central to NL Central,E/W/C,1,NL now has uneven distribution; Cleveland moves to AL
2005,Washington Nationals relocation,Montreal Expos become Washington Nationals,E,1,Only NL team relocation since 1950s; Montreal to DC
2023,Full interleague schedule,Every team plays every other team; abolish AL-NL rotational format,None,30,Eliminates interleague play distinction; balanced schedule
