year,division,team,wins,losses,win_pct,games_behind,runs_scored,runs_allowed,notes
2025,NL East,Philadelphia Phillies,96,66,.593,0.0,784,671,Division champion; NL East
2025,NL East,New York Mets,83,79,.512,13.0,768,712,Wild card
2025,NL East,Miami Marlins,79,83,.488,17.0,680,725,
2025,NL East,Atlanta Braves,76,86,.469,20.0,710,763,
2025,NL East,Washington Nationals,66,96,.407,30.0,619,776,
2025,NL Central,Milwaukee Brewers,97,65,.599,0.0,813,676,Division champion; NL Central
2025,NL Central,Chicago Cubs,92,70,.568,5.0,795,719,Wild card
2025,NL Central,Cincinnati Reds,83,79,.512,14.0,758,741,
2025,NL Central,St. Louis Cardinals,78,84,.481,19.0,707,764,
2025,NL Central,Pittsburgh Pirates,71,91,.438,26.0,678,787,
2025,NL West,Los Angeles Dodgers,93,69,.574,0.0,818,685,Division champion; NL West
2025,NL West,San Diego Padres,90,72,.556,3.0,810,707,Wild card
2025,NL West,San Francisco Giants,81,81,.500,12.0,738,740,
2025,NL West,Arizona Diamondbacks,80,82,.494,13.0,726,754,
2025,NL West,Colorado Rockies,43,119,.265,50.0,524,779,Worst record in MLB
2024,NL East,Philadelphia Phillies,95,67,.586,0.0,785,654,Division champion; NL East
2024,NL East,Atlanta Braves,89,73,.549,6.0,786,711,
2024,NL East,New York Mets,89,73,.549,6.0,774,715,Wild card
2024,NL East,Washington Nationals,71,91,.438,24.0,662,752,
2024,NL East,Miami Marlins,62,100,.383,33.0,582,730,
2024,NL Central,Milwaukee Brewers,93,69,.574,0.0,810,697,Division champion; NL Central
2024,NL Central,Chicago Cubs,83,79,.512,10.0,756,721,
2024,NL Central,St. Louis Cardinals,83,79,.512,10.0,754,731,
2024,NL Central,Cincinnati Reds,77,85,.475,16.0,714,764,
2024,NL Central,Pittsburgh Pirates,76,86,.469,17.0,662,732,
2024,NL West,Los Angeles Dodgers,98,64,.605,0.0,846,649,Division champion; NL West; WS champion
2024,NL West,San Diego Padres,93,69,.574,5.0,788,694,Wild card
2024,NL West,Arizona Diamondbacks,89,73,.549,9.0,781,737,
2024,NL West,San Francisco Giants,80,82,.494,18.0,686,716,
2024,NL West,Colorado Rockies,61,101,.377,37.0,561,727,
2023,NL East,Atlanta Braves,104,58,.642,0.0,773,610,Division champion; NL East; best record in MLB
2023,NL East,Philadelphia Phillies,90,72,.556,14.0,762,701,Wild card
2023,NL East,Miami Marlins,84,78,.519,20.0,715,729,
2023,NL East,New York Mets,75,87,.463,29.0,678,784,
2023,NL East,Washington Nationals,71,91,.438,33.0,645,779,
2023,NL Central,Milwaukee Brewers,92,70,.568,0.0,751,682,Division champion; NL Central
2023,NL Central,Chicago Cubs,83,79,.512,9.0,748,747,
2023,NL Central,Cincinnati Reds,82,80,.506,10.0,729,726,
2023,NL Central,Pittsburgh Pirates,76,86,.469,16.0,682,782,
2023,NL Central,St. Louis Cardinals,71,91,.438,21.0,664,769,
2023,NL West,Los Angeles Dodgers,100,62,.617,0.0,825,650,Division champion; NL West
2023,NL West,Arizona Diamondbacks,84,78,.519,16.0,743,734,Wild card
2023,NL West,San Diego Padres,82,80,.506,18.0,714,712,
2023,NL West,San Francisco Giants,79,83,.488,21.0,706,756,
2023,NL West,Colorado Rockies,59,103,.364,41.0,578,759,
2022,NL East,Atlanta Braves,101,61,.623,0.0,768,606,Division champion; NL East
2022,NL East,New York Mets,101,61,.623,0.0,774,689,Wild card (lost NLDS)
2022,NL East,Philadelphia Phillies,87,75,.537,14.0,743,716,
2022,NL East,Miami Marlins,69,93,.426,32.0,657,760,
2022,NL East,Washington Nationals,55,107,.340,46.0,532,719,
2022,NL Central,St. Louis Cardinals,93,69,.574,0.0,728,659,Division champion; NL Central
2022,NL Central,Milwaukee Brewers,86,76,.531,7.0,740,719,
2022,NL Central,Chicago Cubs,74,88,.457,19.0,670,751,
2022,NL Central,Cincinnati Reds,62,100,.383,31.0,570,736,
2022,NL Central,Pittsburgh Pirates,62,100,.383,31.0,571,768,
2022,NL West,Los Angeles Dodgers,111,51,.685,0.0,847,613,Division champion; NL West; best record in MLB
2022,NL West,San Diego Padres,89,73,.549,22.0,732,681,Wild card
2022,NL West,San Francisco Giants,81,81,.500,30.0,715,733,
2022,NL West,Arizona Diamondbacks,74,88,.457,37.0,673,751,
2022,NL West,Colorado Rockies,68,94,.420,43.0,624,753,
2021,NL East,Atlanta Braves,88,73,.547,0.0,723,672,Division champion
2021,NL East,Philadelphia Phillies,82,80,.506,6.5,737,762,
2021,NL East,New York Mets,77,85,.475,11.5,686,743,
2021,NL East,Miami Marlins,67,95,.414,21.5,627,750,
2021,NL East,Washington Nationals,65,97,.401,23.5,609,759,
2021,NL Central,Milwaukee Brewers,95,67,.586,0.0,778,675,Division champion
2021,NL Central,St. Louis Cardinals,90,72,.556,5.0,767,735,
2021,NL Central,Cincinnati Reds,83,79,.512,12.0,725,726,
2021,NL Central,Chicago Cubs,71,91,.438,24.0,692,779,
2021,NL Central,Pittsburgh Pirates,61,101,.377,34.0,575,767,
2021,NL West,San Francisco Giants,107,55,.660,0.0,826,650,Division champion; best record in MLB
2021,NL West,Los Angeles Dodgers,106,56,.654,1.0,828,661,
2021,NL West,San Diego Padres,79,83,.488,28.0,702,761,Wild card
2021,NL West,Colorado Rockies,74,87,.460,32.5,683,740,
2021,NL West,Arizona Diamondbacks,52,110,.321,55.0,521,769,
2020,NL East,Atlanta Braves,35,25,.583,0.0,339,309,Division champion (60-game season)
2020,NL East,Miami Marlins,31,29,.517,4.0,296,293,Wild card
2020,NL East,Philadelphia Phillies,28,32,.467,7.0,331,354,
2020,NL East,New York Mets,26,34,.433,9.0,282,342,
2020,NL East,Washington Nationals,26,34,.433,9.0,292,351,
2020,NL Central,Chicago Cubs,34,26,.567,0.0,348,311,Division champion (60-game season)
2020,NL Central,Cincinnati Reds,31,29,.517,3.0,322,314,
2020,NL Central,St. Louis Cardinals,30,28,.517,3.0,296,289,
2020,NL Central,Milwaukee Brewers,29,31,.483,5.0,313,349,
2020,NL Central,Pittsburgh Pirates,19,41,.317,15.0,249,371,
2020,NL West,Los Angeles Dodgers,43,17,.717,0.0,432,309,Division champion; best record; WS champion
2020,NL West,San Diego Padres,37,23,.617,6.0,363,329,Wild card
2020,NL West,San Francisco Giants,29,31,.483,14.0,296,319,
2020,NL West,Colorado Rockies,26,34,.433,17.0,289,338,
2020,NL West,Arizona Diamondbacks,25,35,.417,18.0,277,347,
