decade,division,team,wins,playoff_result
1969,East,New York Mets,100,NL Champions (won WS)
1969,West,Atlanta Braves,90,NL Runner-Up
1970,West,Cincinnati Reds,102,NL Runner-Up
1971,East,Pittsburgh Pirates,89,NL Champion (won WS)
1972,West,Cincinnati Reds,95,NL Champion
1973,East,New York Mets,82,NL 4th
1974,West,Pittsburgh Pirates,88,NL Champion (won WS)
1975,East,Philadelphia Phillies,101,NL Runner-Up
1975,West,Cincinnati Reds,108,NL Champions (won WS)
1976,West,Cincinnati Reds,102,NL Champions (won WS)
1977,East,Philadelphia Phillies,101,NL Runner-Up
1978,East,Philadelphia Phillies,90,NL 3rd
1979,East,Philadelphia Phillies,91,NL Champion (won WS)
1980,East,Philadelphia Phillies,91,NL Champions (won WS)
1981,West,Los Angeles Dodgers,63,NL Champions (won WS)
1982,Central,St. Louis Cardinals,92,NL Champions (won WS)
1983,East,Philadelphia Phillies,90,NL Champions (won WS)
1984,Central,St. Louis Cardinals,84,NL 3rd
1985,Central,St. Louis Cardinals,101,NL Champions (won WS)
1986,East,New York Mets,108,NL Champions (lost WS)
1987,Central,St. Louis Cardinals,95,NL Champion (lost WS)
1988,West,Los Angeles Dodgers,94,NL Champions (won WS)
1989,West,San Francisco Giants,92,NL Champion (lost WS)
1990,Central,Cincinnati Reds,91,NL Champions (won WS)
1991,West,Atlanta Braves,94,NL Champion (lost WS in 7)
1992,West,Atlanta Braves,98,NL Champion (lost WS in 7)
1993,East,Philadelphia Phillies,97,NL Champions (won WS)
1995,West,Atlanta Braves,90,NL Champions (won WS)
1996,West,Atlanta Braves,96,NL Runner-Up (lost NLCS)
1997,East,Florida Marlins,92,NL Champion (won WS, Wild Card)
1998,West,San Diego Padres,98,NL Runner-Up (lost WS)
1999,West,Atlanta Braves,103,NL Runner-Up (lost WS)
2000,East,New York Mets,94,NL Runner-Up (lost WS)
2001,West,Arizona Diamondbacks,92,NL Champions (won WS)
2002,West,San Francisco Giants,95,NL Runner-Up
2003,East,Florida Marlins,91,NL Champion (won WS, Wild Card)
2004,Central,St. Louis Cardinals,105,NL Runner-Up
2005,Central,St. Louis Cardinals,100,NL Runner-Up
2006,Central,St. Louis Cardinals,83,NL Champions (won WS)
2007,West,Colorado Rockies,90,NL Runner-Up (lost WS)
2008,East,Philadelphia Phillies,92,NL Runner-Up
2009,East,Philadelphia Phillies,93,NL Runner-Up
2010,West,San Francisco Giants,92,NL Champions (won WS)
2011,Central,St. Louis Cardinals,90,NL Champions (won WS)
2012,West,San Francisco Giants,94,NL Champions (won WS)
2013,Central,St. Louis Cardinals,97,NL Runner-Up
2014,West,San Francisco Giants,88,NL Champions (won WS)
2015,Central,St. Louis Cardinals,100,NL Runner-Up
2016,Central,Chicago Cubs,103,NL Champions (won WS)
2017,West,Los Angeles Dodgers,104,NL Runner-Up
2018,West,Los Angeles Dodgers,92,NL Runner-Up
2019,East,Washington Nationals,93,NL Champions (won WS)
2020,West,Los Angeles Dodgers,43,NL Champions (won WS)
2021,East,Atlanta Braves,88,NL Runner-Up
2022,East,Philadelphia Phillies,87,NL Runner-Up (lost WS)
2023,West,Arizona Diamondbacks,84,NL Champions (won WS)
2024,West,Los Angeles Dodgers,98,NL Champions (won WS)
2025,West,Los Angeles Dodgers,96,NL Champions (won WS)
