team,drought_name,drought_span,years_overcome,detail
St. Louis Cardinals,Longest WS Drought,1908-2016,108 years,Last 10-string WS title before Cubs broke drought (2006)
Chicago Cubs,Longest Drought in Pro Sports,1908-2016,108 years,Ended via dramatic 2016 WS comeback vs Indians
Philadelphia Phillies,Post-Mrs NL East Drought,1950-1976,26 years,Went 50 years between pennants before 1976 NL East title
Cincinnati Reds,Post-Big Red Machine Drought,1976-1990,14 years,Last 70s dynasty before 1990 WS run
Pittsburgh Pirates,Post-1979 Drought,1979-2013,34 years,Last NL title until 2013 NL Central crown
NY Giants/SF Giants,Post-1954 NY Drought,1954-2010,56 years,Emigrated to SF in 1958; didn't return to WS until 2010
San Diego Padres,Post-1984 Drought,1984-2022,38 years,Twice in WS (1984 1998) without winning title
Milwaukee Brewers,Expansion Era Drought,1982-present,43+ years,AL team 1969-1997; moved to NL in 1998; 0 WS titles
Colorado Rockies,Expansion Era Drought,1993-present,32+ years,2007 WS appearance only; no title yet
Arizona Diamondbacks,Post-2001 Drought,2001-present,24+ years,Won 2001 WS in 7 games; no return since
