team,ws_titles,total_games,wins,losses,win_pct,last_ws_title,last_nl_pennant,era_notes
St. Louis Cardinals,11,20863,10633,10099,.513,2011,2024,"Most WS titles in NL all-time; 9 pennants 1942-46 dynasty run"
Los Angeles Dodgers,9,21115,11176,9819,.532,2025,2025,"Most NL pennants all-time (26); back-to-back WS 2024-2025; 8 straight NL West 2018-25"
San Francisco Giants,8,21981,11663,10155,.535,2014,2014,"3 WS titles 2010-2014; 1 pen 2002 (runner-up final 2002-2012)"
Cincinnati Reds,5,21139,10511,10501,.500,1990,1995,"5 WS titles; Big Red Machine 1975-76 (2 consecutive); 1990 reigning until 2025"
Pittsburgh Pirates,5,21519,10724,10661,.501,1979,1979,"5 WS titles all from 1960-1979 era; 2 pennants; 3 consecutive NLCS losses 1971-73"
Chicago Cubs,3,22513,11473,10879,.513,2016,2016,"Ended 108-year drought (1908-2016); 116-36 all-time best NL season 1906"
Atlanta Braves,4,22474,11245,11075,.504,2021,2021,"14 consecutive NL East titles 1991-2005; 1 WS 2021; 18 pennants overall"
Miami Marlins,2,5271,2434,2837,.462,2003,2003,"Smallest franchise by games; 2 WS titles (1997 2003); lowest payroll champion"
New York Mets,2,10231,4939,5284,.483,1986,1986,"2 WS titles; 1969 Miracle Mets; 1986 championship; 1973 NLCS runner-up"
Philadelphia Phillies,2,21907,10357,11435,.475,2008,2022,"2 WS titles: 1980 and 2008; 2022 WS runner-up to Houston (AL champs)"
Arizona Diamondbacks,1,4530,2216,2314,.489,2001,2023,"1 WS title 2001; 2023 NL pennant (lost WS); youngest franchise with title"
Washington Nationals,1,9097,4379,4714,.482,2019,2019,"1 WS title 2019; Expos franchise relocated 2005; fewest games among modern NL"
Colorado Rockies,0,4760,2403,2357,.505,N/A,N/A,"0 WS titles; 2007 NLCS run from Wild Card; all-time .505% (best 0-title NL)"
San Diego Padres,0,7980,4265,3715,.534,N/A,N/A,"0 WS titles despite .534 all-time win% (best among 0-title NL); 2 NLCS losses 1998 2022"
Milwaukee Brewers,0,8920,4464,4456,.503,N/A,N/A,"0 WS titles; joined NL 1998 from AL; 2021 NLCS runner-up; one best non-winner all-time"
