franchise,wins,losses,win_pct,seasons,ws_titles,pennants,founded,status
St. Louis Cardinals,4723,4214,0.529,143,11,23,1882,Active
San Francisco Giants,4512,4331,0.514,143,8,21,1883,Active
Los Angeles Dodgers,4442,4256,0.512,137,7,24,1883,Active
Pittsburgh Pirates,4134,4131,0.500,140,5,9,1882,Active
Chicago Cubs,4108,4131,0.499,138,3,17,1876,Active
Cincinnati Reds,3745,3952,0.487,140,5,10,1882,Active
Atlanta Braves,3548,3765,0.486,132,4,14,1871,Active
Philadelphia Phillies,3464,4235,0.453,140,2,8,1883,Active
New York Mets,3032,3568,0.462,62,2,5,1962,Active
Washington Nationals,2834,3342,0.458,56,0,1,1969,Active
Colorado Rockies,1982,4438,0.310,30,0,0,1993,Active
San Diego Padres,1487,2115,0.412,55,0,1,1969,Active
Arizona Diamondbacks,1074,1621,0.399,26,1,1,1998,Active
Milwaukee Brewers,1265,1862,0.403,27,1,0,1969,Active
Miami Marlins,767,1176,0.394,32,2,2,1993,Active
