team,W-ARI,W-ATL,W-CHN,W-CIN,W-COL,W-LAD,W-MIA,W-MIL,W-NYM,W-PHI,W-PIT,W-SDN,W-SFN,W-SLN,W-WAS
Arizona Diamondbacks,0,56,69,54,64,49,63,73,64,67,76,86,42,85,77
Atlanta Braves,81,0,93,92,83,84,89,84,95,80,86,81,90,89,90
Chicago Cubs,68,78,0,73,84,65,84,76,74,70,88,85,74,84,80
Cincinnati Reds,80,72,88,0,79,68,75,77,82,79,84,84,73,83,80
Colorado Rockies,81,77,71,82,0,64,86,72,77,80,83,84,77,83,81
Los Angeles Dodgers,85,86,87,88,83,0,92,87,93,90,96,89,98,91,92
Miami Marlins,72,71,73,73,67,69,0,78,74,74,81,78,88,75,81
Milwaukee Brewers,75,79,81,80,78,73,84,0,83,77,80,83,80,80,84
New York Mets,79,82,85,80,81,77,90,79,0,76,83,85,84,86,86
Philadelphia Phillies,81,79,80,74,76,69,82,79,81,0,80,80,81,80,81
Pittsburgh Pirates,79,71,71,63,75,66,82,77,75,77,0,74,80,79,81
San Diego Padres,72,78,75,77,73,68,84,76,70,79,86,0,77,77,80
San Francisco Giants,95,85,84,87,80,82,82,84,86,80,75,76,0,88,85
St. Louis Cardinals,74,86,88,79,79,69,85,80,78,81,82,82,63,0,86
Washington Nationals,77,67,76,76,77,67,80,81,78,80,78,79,75,77,0
