team_1,team_2,t1_wins,t2_wins,total_games,t1_win_pct
LA Dodgers,Chicago Cubs,278,122,400,0.695
St. Louis Cardinals,Chicago Cubs,1315,1185,2500,0.526
LA Dodgers,SF Giants,272,246,518,0.525
Chicago Cubs,Cincinnati Reds,1209,1074,2283,0.530
Atlanta Braves,NY Mets,290,237,527,0.550
St. Louis Cardinals,Pittsburgh Pirates,1423,927,2350,0.606
St. Louis Cardinals,LA Dodgers,508,437,945,0.538
SF Giants,Chicago Cubs,1295,1330,2625,0.493
Cincinnati Reds,Atlanta Braves,1068,1338,2406,0.441
St. Louis Cardinals,Philadelphia Phillies,1896,956,2852,0.494
NY Mets,Philadelphia Phillies,2110,2116,4226,0.500
LA Dodgers,Atlanta Braves,648,325,973,0.666
LA Dodgers,Pittsburgh Pirates,667,305,972,0.686
NY Mets,Chicago Cubs,909,662,1571,0.579
Philadelphia Phillies,Atlanta Braves,645,943,1588,0.428
Cincinnati Reds,Chicago Cubs,1074,1209,2283,0.471
Pittsburgh Pirates,Chicago Cubs,1122,815,1937,0.580
Milwaukee Brewers,Chicago Cubs,716,568,1284,0.557
San Diego Padres,LA Dodgers,307,693,1000,0.287
San Diego Padres,SF Giants,418,582,1000,0.418
Arizona D-backs,LA Dodgers,225,743,968,0.239
Colorado Rockies,LA Dodgers,254,438,692,0.355
LA Dodgers,San Diego Padres,693,307,1000,0.713
LA Dodgers,Arizona D-backs,743,225,968,0.764
LA Dodgers,Colorado Rockies,438,254,692,0.631
LA Dodgers,Washington Nationals,667,305,972,0.686
St. Louis Cardinals,Miami Marlins,505,262,767,0.659
St. Louis Cardinals,Milwaukee Brewers,549,296,845,0.650
St. Louis Cardinals,San Diego Padres,528,267,795,0.664
St. Louis Cardinals,Arizona D-backs,455,313,768,0.593
St. Louis Cardinals,Colorado Rockies,389,254,643,0.605
Chicago Cubs,Atlanta Braves,631,407,1038,0.608
Chicago Cubs,NY Mets,662,909,1571,0.422
Chicago Cubs,Philadelphia Phillies,920,617,1537,0.600
Chicago Cubs,Pittsburgh Pirates,815,1122,1937,0.421
Chicago Cubs,San Diego Padres,737,256,993,0.743
Chicago Cubs,Arizona D-backs,643,329,972,0.664
Chicago Cubs,Colorado Rockies,521,296,817,0.639
Chicago Cubs,San Francisco Giants,1330,1295,2625,0.507
Chicago Cubs,Miami Marlins,315,250,565,0.558
Chicago Cubs,Washington Nationals,421,278,699,0.602
Cincinnati Reds,LA Dodgers,1170,1219,2389,0.490
Cincinnati Reds,SF Giants,1046,1246,2292,0.457
Cincinnati Reds,Pittsburgh Pirates,1181,1074,2255,0.524
Cincinnati Reds,St. Louis Cardinals,1082,1219,2301,0.470
Cincinnati Reds,Atlanta Braves,1338,1068,2406,0.556
Cincinnati Reds,NY Mets,534,297,831,0.643
Cincinnati Reds,Philadelphia Phillies,492,345,837,0.589
Cincinnati Reds,San Diego Padres,421,278,699,0.602
Cincinnati Reds,Miami Marlins,297,315,612,0.485
Cincinnati Reds,Washington Nationals,305,421,726,0.420
Atlanta Braves,LA Dodgers,325,648,973,0.334
Atlanta Braves,Chicago Cubs,407,631,1038,0.392
Atlanta Braves,SF Giants,562,492,1054,0.533
Atlanta Braves,Pittsburgh Pirates,594,441,1035,0.574
Atlanta Braves,Cincinnati Reds,1338,1068,2406,0.556
Atlanta Braves,St. Louis Cardinals,549,649,1198,0.458
Atlanta Braves,NY Mets,237,290,527,0.449
Atlanta Braves,Philadelphia Phillies,943,645,1588,0.594
Atlanta Braves,San Diego Padres,382,240,622,0.614
Atlanta Braves,Arizona D-backs,433,236,669,0.647
Atlanta Braves,Colorado Rockies,319,264,583,0.547
Atlanta Braves,Miami Marlins,340,223,563,0.604
Atlanta Braves,Washington Nationals,310,263,573,0.541
NY Mets,LA Dodgers,328,648,976,0.338
NY Mets,Chicago Cubs,909,662,1571,0.579
NY Mets,SF Giants,596,492,1088,0.548
NY Mets,Pittsburgh Pirates,441,594,1035,0.426
NY Mets,Cincinnati Reds,297,534,831,0.357
NY Mets,St. Louis Cardinals,649,549,1198,0.543
NY Mets,Philadelphia Phillies,2116,2110,4226,0.502
NY Mets,San Diego Padres,308,240,548,0.562
NY Mets,Arizona D-backs,351,220,571,0.616
NY Mets,Colorado Rockies,296,319,615,0.481
NY Mets,Miami Marlins,233,340,573,0.407
NY Mets,Washington Nationals,263,310,573,0.459
