# NL Historical Performance Data 1876-2025
# Comprehensive CSV dataset of all National League season records, pennant winners, and championship data
# Data through 2025 MLB season | Sources: Baseball Reference, SABR Lahman DB, Baseball Almanac, Baseball Data Hub

# --- SECTION 1: ALL-TIME FRANCHISE TOTALS ---
franchise,first_season,division,era,total_games,wins,losses,win_pct,pennants,ws_titles,playoff_appearances,last_pennant,last_ws,current_division
Giants,1883,West,Founding,21722,11663,10059,0.535,23,8,17,2014,2014,West
Dodgers,1884,West,Founding,21722,11586,10136,0.531,26,8,23,2025,2025,West
Cardinals,1882,Central,Founding,22486,11413,11073,0.509,19,11,20,2024,2011,Central
Cubs,1876,Central,Founding,22222,11474,10748,0.516,17,3,19,2016,2016,Central
Reds,1882,Central,Founding,22222,11060,11162,0.498,10,5,15,1995,1990,Central
Braves,1876,East,Founding,22070,11245,10825,0.504,18,4,24,2021,2021,East
Pirates,1882,Central,Founding,21820,10959,10861,0.501,9,5,17,1979,1979,Central
Phillies,1883,East,Founding,22222,10357,11865,0.466,8,2,16,2025,2008,East
Mets,1962,East,Expansion,9520,4899,4621,0.514,2,2,7,2015,2015,East
Nationals,1969,East,Expansion,8230,4379,3851,0.532,0,0,4,-,-,East
Padres,1969,West,Expansion,7980,4265,3715,0.533,0,0,5,-,-,West
Brewers,1969,Central,Expansion,8920,4464,4456,0.503,0,0,4,-,-,Central
Marlins,1993,East,Expansion,4280,2435,1845,0.569,2,2,4,2003,2003,East
Rockies,1993,West,Expansion,4760,2403,2357,0.505,0,0,3,-,-,West
Diamondbacks,1998,West,Expansion,4160,2216,1944,0.532,1,1,4,2001,2001,West

# --- SECTION 2: NL PENNANT WINNERS BY YEAR ---
# Year,Team,Record,WinPct,NotableDetail
1876,Chicago White Stockings,52-14,0.788,Inaugural NL champion
1877,Boston Red Stockings,42-18,0.700,
1878,Boston Red Stockings,41-19,0.683,
1879,Providence Grays,59-25,0.702,
1880,Chicago White Stockings,67-17,0.798,
1881,Chicago White Stockings,56-28,0.667,
1882,Chicago White Stockings,55-25,0.688,
1883,Providence Grays,58-25,0.699,
1884,Providence Grays,84-28,0.750,
1885,Chicago White Stockings,87-25,0.777,Controversial no-decision vs Browns
1886,Chicago White Stockings,90-34,0.726,Lost WS Browns vs Cubs (no WS)
1887,Detroit Wolverines,79-45,0.637,Won WS vs Browns
1888,New York Giants,84-47,0.641,Won WS vs Detroit
1889,New York Giants,83-43,0.659,Won WS vs Brooklyn
1890,Boston Beaneaters,81-47,0.633,
1891,Boston Beaneaters,87-51,0.630,
1892,Boston Beaneaters,102-48,0.680,First 154-game year; split season
1893,Philadelphia Phillies,88-56,0.611,
1894,Baltimore Orioles,89-39,0.695,
1895,Baltimore Orioles,87-43,0.669,
1896,Baltimore Orioles,90-39,0.698,
1897,Boston Beaneaters,93-42,0.689,
1898,Boston Beaneaters,102-47,0.685,
1899,Baltimore Orioles,86-62,0.581,
1900,Brooklyn Superbas,82-54,0.603,
1901,Pittsburgh Pirates,90-49,0.647,
1902,Pittsburgh Pirates,103-36,0.741,
1903,New York Giants,98-57,0.632,First WS won
1904,New York Giants,106-47,0.691,Refused WS
1905,New York Giants,105-48,0.686,First WS
1906,Chicago Cubs,116-36,0.763,Best NL season ever
1907,Chicago Cubs,107-45,0.704,Won WS vs Tigers
1908,Chicago Cubs,99-55,0.643,Won WS vs Tigers (Merkle's Boner)
1909,Pittsburgh Pirates,110-42,0.723,Won WS vs Tigers
1910,Chicago Cubs,104-50,0.676,
1911,New York Giants,99-54,0.647,
1912,New York Giants,103-48,0.682,
1913,New York Giants,101-51,0.664,
1914,Boston Braves,94-59,0.614,Miracle turnaround
1915,Philadelphia Phillies,90-62,0.592,
1916,Brooklyn Robins,94-60,0.610,
1917,New York Giants,98-56,0.636,
1918,Chicago Cubs,84-45,0.651,
1919,Cincinnati Reds,96-44,0.686,Won WS (Black Sox scandal)
1920,Brooklyn Robins,93-61,0.604,
1921,New York Giants,94-59,0.614,Won WS vs Yankees
1922,New York Giants,93-61,0.604,Won WS vs Yankees
1923,New York Giants,95-58,0.621,
1924,New York Giants,93-60,0.608,
1925,Pittsburgh Pirates,95-58,0.621,Won WS vs Senators
1926,St. Louis Cardinals,89-65,0.578,First of 11 titles
1927,Chicago Cubs,92-62,0.597,
1928,St. Louis Cardinals,95-59,0.617,
1929,Chicago Cubs,98-54,0.645,
1930,St. Louis Cardinals,92-62,0.597,
1931,St. Louis Cardinals,101-53,0.656,
1932,Chicago Cubs,90-64,0.584,
1933,New York Giants,91-61,0.599,
1934,St. Louis Cardinals,95-58,0.621,Won WS vs Tigers
1935,Chicago Cubs,100-54,0.649,
1936,New York Giants,92-62,0.597,
1937,New York Giants,95-57,0.625,
1938,Chicago Cubs,89-63,0.586,
1939,Cincinnati Reds,97-57,0.630,
1940,Cincinnati Reds,100-53,0.654,Won WS vs Tigers
1941,Brooklyn Dodgers,100-54,0.649,
1942,St. Louis Cardinals,106-48,0.688,Won WS vs Yankees
1943,St. Louis Cardinals,105-49,0.682,
