season,team,modern_name,division,wins,losses,win_pct,playoff_result,era
1876,Chicago White Stockings,Chicago Cubs,N/A,52,14,0.786,NL Champions,Pre-Modern
1876,Boston Red Stockings,Boston Braves,N/A,59,31,0.656,NL Runner-Up,Pre-Modern
1876,Pittsburgh Stars/Alleghenys,Pittsburgh Pirates,N/A,39,55,0.417,NL 5th,Pre-Modern
1876,St. Louis Brown Stockings,St. Louis Cardinals,N/A,29,59,0.333,NL 4th,Pre-Modern
1877,Boston Red Stockings,Boston Braves,N/A,62,33,0.653,NL Champions,Pre-Modern
1878,Providence Grays,Boston Braves,N/A,53,20,0.726,NL Champions,Pre-Modern
1879,Providence Grays,Boston Braves,N/A,59,25,0.702,NL Champions,Pre-Modern
1880,Chicago White Stockings,Chicago Cubs,N/A,67,17,0.798,NL Champions,Pre-Modern
1881,Chicago White Stockings,Chicago Cubs,N/A,56,28,0.667,NL Runner-Up,Pre-Modern
1882,Cincinnati Reds,Cincinnati Reds,N/A,55,25,0.661,NL Champions,Pre-Modern
1883,Providence Grays,Boston Braves,N/A,58,26,0.690,NL Champions,Pre-Modern
1884,Providence Grays,Boston Braves,N/A,84,28,0.750,NL Champions,Pre-Modern
1884,New York Gothams,New York Mets,N/A,62,50,0.554,NL 4th,Pre-Modern
1885,Chicago White Stockings,Chicago Cubs,N/A,87,25,0.777,NL Champions,Pre-Modern
1886,St. Louis Maroons,St. Louis Cardinals,N/A,90,34,0.726,NL Champions,Pre-Modern
1888,New York Giants,New York Mets,N/A,84,47,0.641,NL Champions,Pre-Modern
1889,New York Giants,New York Mets,N/A,83,43,0.659,NL Champions,Pre-Modern
1890,Boston Reds,Boston Braves,N/A,81,48,0.629,NL Champions,Pre-Modern
1891,Boston Reds,Boston Braves,N/A,87,51,0.630,NL Champions,Pre-Modern
1892,Boston Beaneaters,Boston Braves,N/A,102,48,0.682,NL Champions,Pre-Modern
1893,Boston Beaneaters,Boston Braves,N/A,86,43,0.667,NL Champions,Pre-Modern
1897,Boston Beaneaters,Boston Braves,N/A,93,39,0.704,NL Champions,Pre-Modern
1898,Boston Beaneaters,Boston Braves,N/A,102,48,0.680,NL Champions,Pre-Modern
1899,Boston Beaneaters,Boston Braves,N/A,101,46,0.687,NL Champions,Pre-Modern
1900,Pittsburgh Pirates,Pittsburgh Pirates,N/A,79,60,0.568,NL Champions,Pre-Modern
1901,Pittsburgh Pirates,Pittsburgh Pirates,N/A,90,49,0.646,NL Runner-Up,Dead Ball
1901,Brooklyn Superbas,Brooklyn Dodgers,N/A,83,53,0.610,NL 2nd,Dead Ball
1902,Pittsburgh Pirates,Pittsburgh Pirates,N/A,103,36,0.741,NL Champions,Dead Ball
