year,era,games_per_team,nl_champion,nl_champion_wins,nl_champion_losses,notable_fact
1876,Founding Era,60,Boston Red Caps,NL founded Feb 2 1876 with 8 charter members; Boston wins inaugural title
1878,Founding Era,84,Boston Red Caps,First full 84-game schedule season
1880,Founding Era,84,Chicago White Stockings,Chicago begins 5-peat (1880-1885)
1892,Standardization,154,Baltimore Orioles,154-game schedule becomes standard
1903,World Series Era,152,New York Giants,First official World Series between AL and NL champions
1906,Golden Age,154,Chicago Cubs,116-36 (.763) — best single-season W-L% in MLB history
1908,Golden Age,154,Chicago Cubs,Cubs 3rd straight title; 108-year championship drought begins
1914,Golden Age,154,Boston Braves,"Miracle Braves" rally from last to first
1919,Post-WWI,154,Cincinnati Reds,First 14-team season; Reds win WS amid Black Sox controversy
1927,Live-Ball Era,154,New York Yankees,Yankees Murderers' Row; Babe Ruth hits 60 HR
1929,Live-Ball Era,154,Philadelphia Athletics,A's sweep Cubs 4-0
1931,Live-Ball Era,154,St. Louis Cardinals,Cardinals begin Gashouse Gang dynasty
1938,Live-Ball Era,154,Chicago Cubs,Cubs last pennant until 1984
1942,Wartime Era,152,St. Louis Cardinals,Cardinals WWII-era dynasty begins
1944,Wartime Era,154,St. Louis Cardinals,Cities affiliation runs; Cardinals beat St. Louis Browns 4-2 in WS
1946,Post-War,152,St. Louis Cardinals,Redbirds win 3rd in 5 years
1948,Post-War,152,Boston Braves,Last pennant before franchise move to Milwaukee
1951,Biannual Transition,154,New York Giants,Move to San Francisco looms; Bobby Thomson "Shot Heard 'Round the World"
1955,Brooklyn Era,155,Brooklyn Dodgers, Dodgers finally win their first title in 55 years
1957,Move Decision,154,Milwaukee Braves,Braves win final Boston-era title; vote to relocate begins
1958,Westward Move,164,Los Angeles Dodgers,Dodgers and Giants officially relocate to California
1959,Westward Move,154,Los Angeles Dodgers,Dodgers win first title in LA — 3 years after move
1962,Division Era,162,San Francisco Giants,162-game schedule begins; NY Mets established; NL tiebreaker playoff
1963,Great Dodgers,162,Los Angeles Dodgers,Dodgers sweep Yankees 4-0 — Koufax/Sandy Koufax era
1968,Year of the Pitcher,154,St. Louis Cardinals,Bob Gibson 1.12 ERA; mound lowered from 15 to 10 inches
