Year,Team,Record,Win_Pct,Games,Division,Playoff_Result,WS_Result
1876,Chicago White Stockings,52-14,.721,66,West,First NL Champion,—
1877,Boston Red Stockings,42-18,.700,60,East,First Back-to-Back,—
1878,Boston,41-19,.683,60,East,Three-peat,—
1879,Providence,59-25,.702,84,East,First non-Boston Crown,—
1880,Chicago,67-17,.798,84,West,Chicago Daruma,—
1882,Chicago,55-29,.655,84,West,First 84G season,—
1884,Providence,84-28,.750,112,East,NRPC Final,—
1885,Chicago,87-25,.777,112,West,First Temple Cup,—
1886,Chicago,90-34,.726,124,West,First Temple Cup,—
1892,Boston,102-48,.680,154,East,Second Half Champ,—
1906,Chicago Cubs,116-36,.763,154,West,Champion,—
1909,Pittsburgh Pirates,110-42,.723,154,Central,Champion,—
1914,Boston Braves,94-59,.614,154,Federal League Return,Champion,—
1919,Cincinnati Reds,96-44,.686,140,Central,First WS After Scandal,—
1926,St. Louis Cardinals,89-65,.578,154,Central,Champion,—
1934,St. Louis Cardinals,95-58,.621,154,Central,Gashouse Gang,—
1942,St. Louis Cardinals,106-48,.688,154,Central,First WS of 40s,—
1945,Chicago Cubs,98-56,.636,154,Central,Champion (84 years),—
1951,New York Giants,98-59,.624,154,American League,Shot Heard,—
1954,New York Giants,97-57,.630,154,American League,Harry Caray's Giants,—
1955,Brooklyn Dodgers,98-55,.641,154,National League,First Brooklyn WS,—
1957,Milwaukee Braves,85-69,.552,154,National League,Last Season In Milwaukee Before Move,—
1969,New York Mets,100-62,.617,162,National League,Miracle Mets,2-0 Ws
1975,Cincinnati Reds,108-54,.667,162,National League,Big Red Machine,—
1976,Cincinnati Reds,102-60,.630,162,National League,BIG RED MACHINE II,—
1984,Chicago Cubs,96-65,.596,162,National League,NL East First,—
1986,New York Mets,108-54,.667,162,National League,Please Dont Believe,2-3
1995,Atlanta Braves,90-54,.625,162,National League,14 Division Streak Begins,—
2001,Arizona Diamondbacks,92-70,.568,162,National League,First Expansion Champ,World Series
2004,St. Louis Cardinals,105-57,.648,162,National League,MVP顶点,—
2006,St. Louis Cardinals,83-78,.516,162,National League,Miracle Run,World Series
2010,San Francisco Giants,92-70,.568,162,National League,Sergio（8-2,Pedro）,World Series
2012,San Francisco Giants,94-68,.580,162,National League,Giant Slaying,World Series
2014,San Francisco Giants,88-74,.543,162,National League,Kershaw Drought,World Series
2016,Chicago Cubs,103-58,.640,162,National League,End 108-Year Drought,World Series
2020,Los Angeles Dodgers,43-17,.717,60,National League,Best Shortened Season,World Series
2022,Los Angeles Dodgers,111-51,.685,162,National League,Best 162-Game Season,—
2025,Los Angeles Dodgers,93-69,.574,162,National League,Back-to-Back,World Series
