Year,Team,Key_Statistic,Value,Category,Context
1876,Chicago White Stockings,Most Wins,52,Best Season,First NL season; 52-14 .788
1878,Boston Red Caps,First Full NL Champion,52-14,Founding,First NL champion in 8-team league
1884,Providence Grays,Best Team Win Pct,.750,Record,84-28 record; franchise dominance
1885,Chicago White Stockings,First 100-Win Season,100+,Historic,First NL team to win 100 games
1889,Brooklyn Bridegrooms,First NL Pennant for Brooklyn,93-44,Champion,Step toward eventual Dodgers move
1906,Chicago Cubs,Most NL Wins Ever,116,Record,116-36 .763 best-ever single season
1906,Chicago Cubs,Best NL Win Pct Ever,.763,Record,116-36 in 154-game season
1909,Pittsburgh Pirates,Best 154-G Season,110-42,.723,Record,NL 154G era benchmark
1914,Boston Braves,Miracle Turnaround,94-59,Historic,26-game midseason turnaround to pennant
1919,Cincinnati Reds,First Post-Black-Sox WS,96-44,Champion,1st NL WS since 1908; Reds beat White Sox
1921,New York Giants,3rd Consecutive Pennant,93-61,Historic,.604 WR ignited an NY powerhouse run
1926,St. Louis Cardinals,First Cardinals WS Title,89-65,Historic,Beginning of NL most successful franchise
1934,St. Louis Cardinals,Gashouse Gang Season,105-49,Record,Dynasty season beating Tigers in WS
1942,St. Louis Cardinals,First of Five Pennants,106-48,Dynasty,Start of Cardinals 5 pennants 1942-46
1944,St. Louis Cardinals,Best 154G Season in 1940s,105-49,.675,Record; exceeded 105 wins toward championship
1951,New York Giants,Shot Heard Round World,98-59,Historic,Bobby Thomson walk-off vs Dodgers
1955,Brooklyn Dodgers,First Brooklyn WS Title,98-55,Historic,Dodgers won first WS title before LA move
1962,New York Mets,Expansion Worst Record,40-120,Founding,100 losses; worst in NL debut 1962
1969,New York Mets,Miracle Mets,100-62,Historic,First expansion NL champion and WS champion
1975,Cincinnati Reds,Big Red Machine Peak,108-54,Era,Most NL wins in season; swept rival Reds
1981,Montreal Expos,Strike-split Season,First-half NL champs,Historic,Lost NLCS after strike; first-half champion
1986,New York Mets,108-54 Comeback WS,108-54,Era,NYM famous October comeback vs Red Sox
1993,Florida Marlins,Fastest Expansion Champion,91-71,Historic,2nd-year team won NL pennant and WS
1995,Atlanta Braves,Dominant Regular Season,90-54,Flagship,14 consecutive division title era begins
1994,Season Voided by Strike,No NL Champion,No Season,None,NL pennant not awarded due to player strike
2001,AZ Diamondbacks,2nd-Year Championship Team,92-70,Historic,Youngest NL franchise to win a WS title
2006,St. Louis Cardinals,Post-Scandal Championship Return,83-78,Historic,Drove to division; NL champion in 2006
2012,San Francisco Giants,3 for 5 Championship Run,94-68,Historic,3 WS titles in 5 years dynasty
2016,Chicago Cubs,108-Year Drought Ends,103-58,Historic,First NL champion since 2009; gap ended
2020,LA Dodgers,Best 60-Game NL Record,43-17,Historic,Best W-L in any 60-game season in NL history
2022,LA Dodgers,Best 162-Game NL Season,111-51,Record,Best win% in 162-game NL era
2024,Los Angeles Dodgers,Back-to-Back WS Champions,98-64,Historic,Dodgers repeat WS champions 2024-2025
2025,Los Angeles Dodgers,8 Straight NL West,93-69,Historic,Continued dominant NL West streak
