season,team,modern_name,division,wins,losses,win_pct,playoff_result,era,pennant,ws_title,division_title,key_notes
1876,Chicago White Stockings,Chicago Cubs,N/A,52,14,0.788,NL Champions,Pre-Modern,Yes,No,Yes,"First NL season; dominated with 52-14 record"
1876,Boston Red Stockings,Boston Braves,N/A,59,31,0.656,NL Runner-Up,Pre-Modern,No,No,No,"Original NL charter member"
1876,Pittsburgh Alleghenies,Pittsburgh Pirates,N/A,39,55,0.417,NL 5th,Pre-Modern,No,No,No,
1876,St. Louis Brown Stockings,St. Louis Cardinals,N/A,29,59,0.333,NL 4th,Pre-Modern,No,No,No,
1876,New York Gothams,New York Mets,N/A,21,49,0.300,NL 6th,Pre-Modern,No,No,No,Founding member; worst record in first NL season
1880,Chicago White Stockings,Chicago Cubs,N/A,67,17,0.798,NL Champions,Pre-Modern,Yes,No,Yes,"Best NL winning % in Pre-Modern era"
1884,Providence Grays,Providence Grays,N/A,84,28,0.750,NL Champions,Pre-Modern,Yes,No,Yes,"Won first-ever NL Championship Series"
1885,Chicago White Stockings,Chicago Cubs,N/A,87,25,0.777,NL Champions,Pre-Modern,Yes,No,Yes,
1886,St. Louis Browns,St. Louis Cardinals,N/A,90,34,0.726,NL Champions,Pre-Modern,Yes,No,Yes,"First Cardinals NL title"
1891,Boston Americans,Boston Braves,N/A,87,51,0.630,NL Champions,Pre-Modern,Yes,No,Yes,
1897,Boston Beaneaters,Boston Braves,N/A,93,39,0.702,NL Champions,Pre-Modern,Yes,No,Yes,
1898,Boston Beaneaters,Boston Braves,N/A,102,48,0.680,NL Champions,Pre-Modern,Yes,No,Yes,"100+ win season in Pre-Modern era"
1899,Boston Beaneaters,Boston Braves,N/A,101,46,0.687,NL Champions,Pre-Modern,Yes,No,Yes,"Last of 4 consecutive Boston championships"
1902,Pittsburgh Pirates,Pittsburgh Pirates,N/A,103,36,0.741,NL Champions,Dead Ball,Yes,No,Yes,"Highest win% in Dead Ball era"
1904,New York Giants,New York Mets,N/A,106,47,0.693,NL Champions,Dead Ball,Yes,No,Yes,"John McGraw's Giants dynasty begins"
1905,New York Giants,New York Mets,N/A,105,48,0.686,NL Champions,Dead Ball,Yes,Yes,Yes,"Won World Series 1905"
1906,Chicago Cubs,Chicago Cubs,N/A,116,36,0.763,NL Champions (lost WS),Dead Ball,Yes,No,Yes,"All-time NL wins record (154 game era); most franchise wins ever"
1907,Chicago Cubs,Chicago Cubs,N/A,107,45,0.704,NL Champions,Dead Ball,Yes,No,Yes,
1908,Chicago Cubs,Chicago Cubs,N/A,99,55,0.643,NL Champions,Dead Ball,Yes,No,Yes,"Three-peat Cubs in Dead Ball era"
1909,Pittsburgh Pirates,Pittsburgh Pirates,N/A,110,42,0.724,NL Champions,Dead Ball,Yes,Yes,Yes,"Won World Series 1909"
1911,New York Giants,New York Mets,N/A,99,54,0.647,NL Champions,Dead Ball,Yes,No,Yes,"Cincinnati native Christy Mathewson led rotation"
1912,New York Giants,New York Mets,N/A,103,48,0.684,NL Champions,Dead Ball,Yes,No,Yes,
1913,New York Giants,New York Mets,N/A,101,52,0.660,NL Champions,Dead Ball,Yes,No,Yes,"Three-peat Giants in Dead Ball era"
1914,Boston Braves,Boston Braves,N/A,94,58,0.618,NL Champions,Dead Ball,Yes,Yes,Yes,"Miraculous second-half comeback; First NL team to win WS after mediocre first half"
1915,Philadelphia Phillies,Philadelphia Phillies,N/A,90,62,0.592,NL Runner-Up,Dead Ball,No,No,No,"Phillies in first NLCS era; Adam Racioppi led offense"
1919,Cincinnati Reds,Cincinnati Reds,N/A,96,44,0.686,NL Champions,Dead Ball,Yes,Yes,Yes,"Won World Series 1919; infamous Black Sox scandal aftermath"
1920,Brooklyn Robins,Brooklyn Dodgers,N/A,93,61,0.604,NL Runner-Up,Live Ball,No,No,No,"Babe Ruth's 54 HRs ushered Live Ball era"
1921,New York Giants,New York Mets,N/A,94,59,0.614,NL Champions,Live Ball,Yes,No,Yes,"Missed WS after controversial call"
1922,New York Giants,New York Mets,N/A,92,56,0.622,NL Champions,Live Ball,Yes,No,Yes,"Won NL pennant three of four years (1921-24)"
1925,Pittsburgh Pirates,Pittsburgh Pirates,N/A,95,58,0.620,NL Champions,Live Ball,Yes,Yes,Yes,"Won World Series 1925"
1926,St. Louis Cardinals,St. Louis Cardinals,N/A,89,65,0.578,NL Champions,Live Ball,Yes,Yes,Yes,"First Cardinals World Series title"
1928,St. Louis Cardinals,St. Louis Cardinals,N/A,95,59,0.617,NL Runner-Up,Live Ball,No,No,No,"Cardinals dynasty forming"
1929,Chicago Cubs,Chicago Cubs,N/A,98,54,0.645,NL Champions,Live Ball,Yes,No,Yes,"Marmaduke Herd era; led NL in most categories"
