source,team,wins,losses,win_pct,games,ws_titles,last_ws_title,division_titles,era_active,all_time_ranking
Baseball Almanac,St. Louis Cardinals,10633,10099,.513,20863,11,2011,12,1882-present,1
Baseball Almanac,Los Angeles Dodgers,11176,9819,.532,21115,9,2025,23,1884-present,2
Baseball Almanac,San Francisco Giants,11663,10155,.535,21981,8,2014,9,1883-present,3
Baseball Almanac,Cincinnati Reds,10511,10501,.500,21139,5,1990,6,1882-present,4
Baseball Almanac,Pittsburgh Pirates,10724,10661,.501,21519,5,1979,5,1882-present,5
Baseball Almanac,Atlanta Braves,11245,11075,.504,22474,4,2021,18,1876-present,6
Baseball Almanac,Chicago Cubs,11473,10879,.513,22513,3,2016,6,1876-present,7
Baseball Almanac,Miami Marlins,2434,2837,.462,5271,2,2003,0,1993-present,8
Baseball Almanac,New York Mets,4939,5284,.483,10231,2,1986,2,1962-present,9
Baseball Almanac,Philadelphia Phillies,10357,11435,.475,21907,2,2008,13,1883-present,10
Baseball Almanac,Arizona Diamondbacks,2216,2314,.489,4530,1,2001,0,1998-present,11
Baseball Almanac,Washington Nationals,4379,4714,.482,9097,1,2019,0,1969-present,12
Baseball Almanac,Milwaukee Brewers,4464,4456,.503,8920,0,N/A,6,1969-present,13
Baseball Almanac,Colorado Rockies,2403,2357,.505,4760,0,N/A,0,1993-present,14
Baseball Almanac,San Diego Padres,4265,3715,.534,7980,0,N/A,0,1969-present,15
StatMuse,Los Angeles Dodgers,1129,714,.613,1843,0,N/A,6,2013-2024,1
StatMuse,St. Louis Cardinals,1002,838,.545,1840,0,N/A,0,2013-2024,2
StatMuse,Atlanta Braves,986,854,.536,1840,0,N/A,4,2013-2024,3
StatMuse,Milwaukee Brewers,963,880,.523,1843,0,N/A,6,2013-2024,4
StatMuse,Chicago Cubs,955,887,.518,1843,0,N/A,2,2013-2024,5
StatMuse,New York Mets,931,911,.505,1842,0,N/A,0,2013-2024,6
StatMuse,San Francisco Giants,925,917,.502,1842,0,N/A,3,2013-2024,7
StatMuse,Washington Nationals,920,922,.499,1842,0,N/A,0,2013-2024,8
StatMuse,Philadelphia Phillies,889,953,.483,1842,0,N/A,1,2013-2024,9
StatMuse,San Diego Padres,882,960,.479,1842,0,N/A,0,2013-2024,10
StatMuse,Pittsburgh Pirates,878,962,.477,1841,0,N/A,1,2013-2024,11
StatMuse,Arizona Diamondbacks,877,965,.476,1842,0,N/A,0,2013-2024,12
StatMuse,Cincinnati Reds,843,999,.458,1842,0,N/A,1,2013-2024,13
StatMuse,Colorado Rockies,820,1022,.445,1842,0,N/A,0,2013-2024,14
StatMuse,Miami Marlins,799,1041,.434,1840,0,N/A,0,2013-2024,15
StatMuse (23yr),Los Angeles Dodgers,2239,1709,.567,3948,0,N/A,6,2000-2024,1
StatMuse (23yr),St. Louis Cardinals,2179,1766,.552,3945,0,N/A,4,2000-2024,2
StatMuse (23yr),Atlanta Braves,2152,1792,.546,3945,0,N/A,6,2000-2024,3
StatMuse (23yr),San Francisco Giants,2052,1893,.520,3946,0,N/A,3,2000-2024,4
StatMuse (23yr),Philadelphia Phillies,2019,1928,.512,3947,0,N/A,1,2000-2024,5
StatMuse (23yr),New York Mets,1976,1970,.501,3946,0,N/A,0,2000-2024,6
StatMuse (23yr),Chicago Cubs,1969,1977,.499,3947,0,N/A,2,2000-2024,7
StatMuse (23yr),Milwaukee Brewers,1960,1988,.496,3949,0,N/A,3,2000-2024,8
StatMuse (23yr),Arizona Diamondbacks,1922,2026,.487,3948,0,N/A,0,2000-2024,9
StatMuse (23yr),San Diego Padres,1888,2061,.478,3949,0,N/A,0,2000-2024,10
Competition,W-L,1906 Cubs,116,36,.763,152,0,N/A,0,Single season record
Competition,W-L,2001 Mariners,116,46,.716,162,0,N/A,0,Single season record (AL)
Competition,W-L,1899 Cleveland Spiders,20,134,.130,154,0,N/A,0,Worst NL season
Competition,H2H,LAD vs CHC,278,122,.695,400,0,N/A,2016-present,Dodgers dominant
Competition,H2H,STL vs CHC,1315,1185,.525,2500,0,N/A,1900s-1990s,Cardinals dynasty
Competition,H2H,LAD vs SF Giants,272,246,.523,518,0,N/A,2010s-present,Dodgers edge
Competition,H2H,STL vs PIT,1423,927,.606,2350,0,N/A,1920s-1980s,Cardinals dominance
