year,nl_champion,nl_wins,nl_losses,nl_win_pct,ws_champion,ws_result,ws_games,notes
2025,Los Angeles Dodgers,96,66,0.593,Los Angeles Dodgers,Dodgers beat Toronto Blue Jays 4-3,7,Back-to-back WS titles; 9th WS title for Dodgers
2024,Los Angeles Dodgers,98,64,0.605,Los Angeles Dodgers,Dodgers beat Yankees 4-1,5,Back-to-back WS titles; 8th WS title
2023,Atlanta Braves,104,58,0.642,Texas Rangers (AL won),Dodgers eliminated in NLCS 0-4,163 (expanded),NL champion lost in WS to Rangers
2022,St. Louis Cardinals,93,69,0.574,Houston Astros (AL won),Cardinals eliminated in WS,163,Dodgers NL West champs lost NLCS to Cardinals
2021,Atlanta Braves,88,73,0.547,Atlanta Braves,Braves beat Astros 4-2,6,Cubs won NL Central but Braves dominated NL playoffs
2020,Los Angeles Dodgers,43,17,0.717,Los Angeles Dodgers,Dodgers beat Rays 4-2,6,Shorter 60-game season due to COVID-19
2019,Atlanta Braves,93,69,0.574,Washington Nationals,Nationals upset Dodgers NLDS 3-2,162,First-ever NL champion who won WS since 2014 Cardinals
2018,Los Angeles Dodgers,92,71,0.568,Boston Red Sox (AL won),Dodgers eliminated in NLCS,162,Dodgers set franchise 100-win record at time
2017,Los Angeles Dodgers,104,58,0.642,Houston Astros (AL won),Dodgers eliminated in WS 3-4,162,Tied NL record for 162-game era wins
2016,Chicago Cubs,103,58,0.640,Chicago Cubs,Cubs beat Indians 4-3,7,Ended 108-year championship drought
2015,New York Mets,90,72,0.556,Kansas City Royals (AL won),Mets eliminated in WS 0-4,162,First NL pennant for Mets since 2006
