division,team,w,l,pct,gb,season
NL East,Atlanta Braves,61,43,.587,0,2026
NL East,Philadelphia Phillies,56,49,.533,5.5,2026
NL East,Washington Nationals,53,52,.505,8.5,2026
NL East,Miami Marlins,52,53,.495,9.5,2026
NL East,New York Mets,43,62,.410,18.5,2026
NL Central,Milwaukee Brewers,65,39,.625,0,2026
NL Central,Chicago Cubs,59,45,.567,6.0,2026
NL Central,St. Louis Cardinals,53,51,.510,12.0,2026
NL Central,Pittsburgh Pirates,53,52,.505,12.5,2026
NL Central,Cincinnati Reds,48,55,.466,16.5,2026
NL West,Los Angeles Dodgers,67,38,.638,0,2026
NL West,Arizona Diamondbacks,55,50,.524,12.0,2026
NL West,San Diego Padres,52,53,.495,15.0,2026
NL West,San Francisco Giants,44,60,.423,22.5,2026
NL West,Colorado Rockies,42,64,.396,25.5,2026
NL East,New York Mets,43,62,.410,18.5,2026
NL Central,Reds,48,55,.466,16.5,2026
NL West,Colorado Rockies,42,64,.396,25.5,2026
