rank,team,record,win_pct,games,era
1,LA Dodgers,2239-1709,.567,3948,2000-2024
2,St. Louis Cardinals,2179-1766,.552,3945,2000-2024
3,Atlanta Braves,2152-1792,.546,3945,2000-2024
4,San Francisco Giants,2052-1893,.520,3946,2000-2024
5,Philadelphia Phillies,2019-1928,.512,3947,2000-2024
6,New York Mets,1976-1970,.501,3946,2000-2024
7,Chicago Cubs,1969-1977,.499,3947,2000-2024
8,Milwaukee Brewers,1960-1988,.496,3949,2000-2024
9,Arizona Diamondbacks,1922-2026,.487,3948,2000-2024
10,San Diego Padres,1888-2061,.478,3949,2000-2024
