Year,Franchise,Games,Wins,Losses,WinPct,RunDiff,PctRank,Division,Era
1876,Chicago White Stockings,66,52,14,.787,+51,1,,Founding Era
1877,Boston Red Caps,60,42,18,.700,+24,1,,Founding Era
1878,Boston Red Caps,60,41,19,.683,+15,1,,Founding Era
1879,Providence Grays,84,59,25,.702,+68,1,,Founding Era
1880,Chicago White Stockings,84,67,17,.798,+93,1,,Founding Era
1881,Chicago White Stockings,84,56,28,.667,+40,1,,Founding Era
1882,Providence Grays,84,52,32,.619,+29,1,,Founding Era
1883,Boston Beaneaters,98,63,35,.643,+36,1,,Founding Era
1884,Providence Grays,112,84,28,.750,+72,1,,Founding Era
1885,Chicago White Stockings,112,87,25,.777,+72,1,,Founding Era
1886,Chicago White Stockings,112,90,22,.804,+93,1,,Founding Era
1887,Detroit Wolverines,135,79,45,.634,+32,2,,Founding Era
1888,NY Giants,133,84,47,.642,+48,2,,Founding Era
1889,NY Giants,135,83,43,.659,+66,2,,Founding Era
1890,Boston Beaneaters (Brooklyn),132,49,83,.371,-22,,Founding Era
