season,team,division,wins,losses,win_pct,playoff_result,notes
1876,Chicago White Stockings (now Cubs),NL West,52,14,0.788,"NL Champions",Founding season; beaten path through 8 teams
1876,Chicago White Stockings (now Cubs),NL West,59,31,0.656,"NL Runner-Up",Second season
1876,Providence Grays (held),NL West,21,49,0.300,6th,Only 28 games but franchise first year
1876,St. Louis Brown Stockings (now Cardinals),NL West,29,59,0.333,7th,Struggling early years
1877,Boston Red Stockings (now Braves),NL West,62,33,0.653,NL Champions,First Boston dynasty
1878,Providence Grays,NL West,53,20,0.726,NL Champions,2nd title
1879,Brunswick-Boston Red Stockings (Braves),NL West,76,37,0.672,NL Champions,3rd straight
1880,Chicago White Stockings,NL West,67,17,0.798,NL Champions,near-perfect season
1881,Chicago White Stockings,NL West,56,28,0.667,NL Runner-Up,
1882,Cincinnati Red Stockings,NL West,55,25,0.688,NL Champions,First Cincinnati title
1883,Providence Grays,NL West,58,26,0.690,NL Champions,3rd title
1884,Providence Grays,NL West,84,28,0.750,NL Champions+AA Challenge,Post-AA merger year
1885,Chicago White Stockings,NL West,87,25,0.777,NL Champions,"Four titles in five years (1876, 80, 85)"
1886,St. Louis Brown Stockings,NL West,90,34,0.726,NL Champions,First St. Louis title
