Franchise,Founded,Relocated,TotalWins,TotalLosses,WinPct,Seasons,WorldSeriesTitles,NationalLeaguePennants,Notes
St. Louis Cardinals,1882,,4723,4214,.529,143,11,19,Oldest continuous NL franchise; 11 World Series titles
San Francisco Giants,1883,1957 (NY→SF),4512,4331,.514,143,8,23,Includes NY Giants era (1883-1957); 8 WS titles, 23 pennants
Los Angeles Dodgers,1883,1958 (Brooklyn→LA),4442,4256,.512,137,7,25,Includes Brooklyn Dodgers era; 7 WS titles, 25 pennants
Pittsburgh Pirates,1882,,4134,4131,.500,140,5,7,5 WS titles; dominant in early 1900s
Chicago Cubs,1876,,4108,4131,.499,138,3,6,1906 best NL season ever (116-36, .763); 3 WS titles
Cincinnati Reds,1882,,3745,3952,.487,140,5,8,Big Red Machine 1970-79: .610 Win%; 5 WS titles
Atlanta Braves,1876,1966 (Milwaukee→ATL),3548,3765,.486,132,4,10,Includes Boston (1876-1952) and Milwaukee (1953-1965) eras; 1991-2005 dynasty
Philadelphia Phillies,1883,,3464,4235,.453,140,2,8,Longest playoff drought in franchise history (1994-2007); 2 WS titles
New York Mets,1962,,3032,3568,.462,62,2,5,2 WS titles (1969, 1986); 5 pennants
Washington Nationals,1969,2005 (Montreal→DC),2834,3342,.458,56,0,3,Includes Montreal Expos (1969-2004); 0 WS titles
Colorado Rockies,1993,,1982,4438,.310,30,0,1,Worst all-time NL Win%; 31-0 in 1994 NLDS (.762)
San Diego Padres,1969,,1487,2115,.412,55,0,2,2 WS appearances (1998, 2022); 0 titles
Arizona Diamondbacks,1998,,1074,1621,.399,26,1,1,1 WS title (2001) in only 4th season
Milwaukee Brewers,1969,1998 (AL→NL),1265,1862,.403,27,1,1,NL only since 1998; 1 WS as AL team (1982)
Miami Marlins,1993,,767,1176,.394,32,2,2,2 WS titles (1997, 2003) despite shortest NL history
