Year,WCLeader,Wins,Losses,WinPct,WC_Game,WC_Result,Notes
2025,Philadelphia Phillies,96,66,.593,,Won NLDS 3-2,Overcame Mets in NLDS
2024,Atlanta Braves,89,73,.549,,Won NLDS 3-1,Defeated Mets in NLDS
2023,Atlanta Braves,104,58,.642,,Won NLDS 3-1,Defeated Phillies in NLDS
2022,Los Angeles Dodgers,111,51,.685,,Wild Card (by record),Best record but no division title
2021,Atlanta Braves,88,73,.547,,Won NLDS 3-1,Defeated Dodgers in NLDS
2020,Los Angeles Dodgers,43,17,.717,,Won NLDS 3-0,Shortened season WC format
2019,Atlanta Braves,97,65,.599,,Lost NLDS 3-2,To Dodgers in 18th game
2018,Los Angeles Dodgers,92,71,.564,,Won NLDS 3-1,Defeated Rockies in NLDS
2017,Los Angeles Dodgers,104,58,.642,,Won NLDS 3-0,Defeated Diamondbacks in NLDS
2016,Chicago Cubs,103,58,.640,,Won NLDS 3-0,Defeated Nationals in NLDS
2015,St. Louis Cardinals,100,62,.617,,Won NLDS 3-0,Defeated Dodgers in NLDS
2014,Washington Nationals,96,66,.593,,Won NLDS 3-2,Defeated Dodgers in NLDS
2013,St. Louis Cardinals,97,65,.599,,Won NLDS 3-2,Defeated Pirates in NLDS
2012,St. Louis Cardinals,88,74,.543,,Won NLDS 3-2,Defeated Nationals in NLDS
2011,Arizona Diamondbacks,94,68,.580,,Won NLDS 3-2,Defeated Brewers in NLDS
2010,Philadelphia Phillies,97,65,.599,,Lost NLDS 3-0,To Cardinals in NLDS
2009,Philadelphia Phillies,93,69,.574,,Won NLDS 3-1,Defeated Rockies in NLDS
2008,Chicago Cubs,97,64,.600,,Won NLDS 3-0,Defeated Dodgers in NLDS
2007,Colorado Rockies,90,73,.556,,Won NLDS 3-0,Defeated Diamondbacks in NLDS
2006,New York Mets,97,65,.599,,Lost NLDS 3-0,To Cardinals in NLDS
2005,Atlanta Braves,90,72,.556,,Lost NLDS 3-1,To Astros in NLDS
2004,St. Louis Cardinals,105,57,.648,,Won NLDS 3-0,Defeated Dodgers in NLDS
2003,Atlanta Braves,101,61,.623,,Won NLDS 3-1,Defeated Cubs in NLDS
2002,San Francisco Giants,95,66,.590,,Won NLDS 3-2,Defeated Atlanta in NLDS
2001,Arizona Diamondbacks,92,70,.568,,Won NLDS 3-0,Defeated Cardinals in NLDS
2000,St. Louis Cardinals,95,67,.586,,Won NLDS 3-0,Defeated Braves in NLDS
1999,New York Mets,97,66,.595,,Won NLDS 3-2,Defeated Arizona in NLDS
1998,Chicago Cubs,90,73,.552,,Lost NLDS 3-0,To Padres in NLDS
1997,Florida Marlins,92,70,.568,,Won NLDS 3-0,Defeated Giants in NLDS
1996,Atlanta Braves,96,66,.593,,Won NLDS 3-0,Defeated Dodgers in NLDS
1995,Atlanta Braves,90,54,.625,,Won NLDS 3-0,Defeated Rockies in NLDS
1994,-----,-----,-----,-----,-----,-----,-----,1994 season cancelled by strike
1993,Philadelphia Phillies,97,65,.599,,Won NLDS 3-2,Defeated Astronauts in NLDS
1992,Atlanta Braves,98,64,.605,,Lost NLDS 3-2,To Pirates in NLDS
1991,Atlanta Braves,94,68,.580,,Won NLDS 3-2,Defeated Pirates in NLDS
1990,Pittsburgh Pirates,95,67,.586,,Lost NLDS 3-2,To Reds in NLDS
1989,Chicago Cubs,93,69,.574,,Lost NLDS 3-2,Opened NLCS with Giants
1988,Los Angeles Dodgers,94,67,.584,,Won NLDS 3-1,Defeated Mets in NLDS
1987,St. Louis Cardinals,95,67,.586,,Lost NLDS 3-0,To Giants in NLDS
1986,New York Mets,108,54,.667,,Won NLDS 3-0,Defeated Dodgers in NLDS
1985,St. Louis Cardinals,101,61,.622,,Lost NLCS 4-2,To Dodgers in NLCS
1984,Chicago Cubs,96,65,.596,,Lost NLCS 4-3,Defeated Braves in NLCS
1983,Philadelphia Phillies,90,72,.556,,Lost NLCS 3-1,To Dodgers in NLCS
1982,St. Louis Cardinals,92,70,.568,,Won NLCS 3-0,Defeated Braves in NLCS
1981,Los Angeles Dodgers,63,48,.568,,Won NLDS 3-2,Defeated Expos in NLDS
1980,Philadelphia Phillies,91,71,.562,,Lost NLCS 3-2,To Dodgers in NLCS
1979,Pittsburgh Pirates,98,64,.605,,Lost NLCS 3-0,To Reds in NLCS
1978,Los Angeles Dodgers,95,67,.587,,Lost NLCS 3-1,ToPhillies in NLCS
1977,Los Angeles Dodgers,98,64,.605,,Lost NLCS 3-1,Defeated Phillies in NLCS
1976,Cincinnati Reds,102,60,.630,,Won NLCS 3-0,Defeated Phillies in NLCS
1975,Cincinnati Reds,108,54,.667,,Won NLCS 3-0,Defeated Pirates in NLCS
1974,Pittsburgh Pirates,88,74,.543,,Lost NLCS 3-1,To Dodgers in NLCS
1973,New York Mets,82,79,.509,,Lost NLCS 3-2,Defeated Reds in NLCS
1972,Cincinnati Reds,95,59,.617,,Lost NLCS 3-2,Defeated Pirates in NLCS
