year,era,division,team,wins,losses,win_pct,games_back,postseason_result
1876,Pre-Divisional,NL,Chicago White Stockings,52,14,.788,—,NL Champions (no formal playoff)
1876,Pre-Divisional,NL,Hartford Dark Blues,47,21,.691,5.0,—
1876,Pre-Divisional,NL,St. Louis Brown Stockings,45,19,.703,7.0,—
1876,Pre-Divisional,NL,Boston Red Caps,39,31,.557,13.0,—
1876,Pre-Divisional,NL,Louisville Grays,30,36,.455,25.0,—
1876,Pre-Divisional,NL,New York Mutuals,21,35,.375,30.0,—
1876,Pre-Divisional,NL,Philadelphia Athletics,14,45,.237,41.5,—
1876,Pre-Divisional,NL,Cincinnati Reds,9,56,.138,51.0,—
1941,Pre-Divisional,NL,Brooklyn Dodgers,100,54,.649,—,—
1941,Pre-Divisional,NL,St. Louis Cardinals,97,56,.634,3.0,—
1941,Pre-Divisional,NL,Cincinnati Reds,88,66,.571,12.5,—
1941,Pre-Divisional,NL,Pittsburgh Pirates,81,73,.526,19.5,—
1941,Pre-Divisional,NL,New York Giants,74,79,.484,26.0,—
1941,Pre-Divisional,NL,Chicago Cubs,70,84,.455,30.5,—
1941,Pre-Divisional,NL,Boston Bees,63,88,.417,35.0,—
1941,Pre-Divisional,NL,Philadelphia Phillies,43,111,.279,50.5,—
1954,Pre-Divisional,NL,New York Giants,97,57,.630,—,NL Champions (no formal playoff)
1954,Pre-Divisional,NL,Brooklyn Dodgers,92,62,.597,5.0,—
1954,Pre-Divisional,NL,Milwaukee Braves,89,65,.578,8.0,—
1954,Pre-Divisional,NL,Philadelphia Phillies,75,79,.487,22.0,—
1954,Pre-Divisional,NL,Cincinnati Redlegs,74,80,.481,23.0,—
1954,Pre-Divisional,NL,St. Louis Cardinals,72,82,.468,25.0,—
1954,Pre-Divisional,NL,Chicago Cubs,64,90,.416,33.0,—
1954,Pre-Divisional,NL,Pittsburgh Pirates,53,101,.344,44.0,—
1961,Pre-Divisional,NL,Cincinnati Reds,93,61,.604,—,—
1961,Pre-Divisional,NL,Los Angeles Dodgers,89,65,.578,4.0,—
1961,Pre-Divisional,NL,San Francisco Giants,85,69,.552,8.0,—
1961,Pre-Divisional,NL,Milwaukee Braves,83,71,.539,10.0,—
1961,Pre-Divisional,NL,St. Louis Cardinals,80,74,.519,13.0,—
1961,Pre-Divisional,NL,Pittsburgh Pirates,75,79,.487,18.0,—
1961,Pre-Divisional,NL,Chicago Cubs,64,90,.416,29.0,—
1961,Pre-Divisional,NL,Philadelphia Phillies,47,107,.305,42.0,—
1969,Divisional,NL East,New York Mets,100,62,.617,—,NL Champions; WS Champions
1969,Divisional,NL East,Chicago Cubs,92,70,.568,8.0,—
1969,Divisional,NL East,Pittsburgh Pirates,88,74,.543,12.0,—
1969,Divisional,NL East,St. Louis Cardinals,87,75,.537,13.0,—
1969,Divisional,NL East,Philadelphia Phillies,63,99,.389,33.5,—
1969,Divisional,NL East,Montreal Expos,52,110,.321,44.5,—
1969,Divisional,NL West,Atlanta Braves,93,69,.574,—,NL Championship Series (lost to Mets)
1969,Divisional,NL West,San Francisco Giants,90,72,.556,3.0,—
1969,Divisional,NL West,Cincinnati Reds,89,73,.549,4.0,—
1969,Divisional,NL West,Los Angeles Dodgers,85,77,.525,8.0,—
1969,Divisional,NL West,Houston Astros,81,81,.500,12.0,—
1969,Divisional,NL West,San Diego Padres,52,110,.321,41.0,—
1975,Divisional,NL East,Pittsburgh Pirates,92,69,.571,—,NL Champions; WS lost to Boston
1975,Divisional,NL East,Philadelphia Phillies,86,76,.531,6.0,—
1975,Divisional,NL East,New York Mets,82,80,.506,10.0,—
1975,Divisional,NL East,St. Louis Cardinals,82,80,.506,10.0,—
1975,Divisional,NL East,Chicago Cubs,75,87,.463,17.5,—
1975,Divisional,NL East,Montreal Expos,75,87,.463,17.5,—
1975,Divisional,NL West,Cincinnati Reds,108,54,.667,—,NL Champions; WS Champions
1975,Divisional,NL West,Los Angeles Dodgers,88,74,.543,20.0,—
1975,Divisional,NL West,San Francisco Giants,80,81,.497,27.5,—
1975,Divisional,NL West,San Diego Padres,71,91,.438,37.0,—
1975,Divisional,NL West,Atlanta Braves,67,94,.416,40.5,—
1975,Divisional,NL West,Houston Astros,64,97,.398,43.5,—
1987,Divisional,NL East,St. Louis Cardinals,95,67,.586,—,NL Champions; WS lost to Minnesota
1987,Divisional,NL East,New York Mets,92,70,.568,3.0,—
1987,Divisional,NL East,Montreal Expos,91,71,.562,4.0,—
1987,Divisional,NL East,Philadelphia Phillies,80,82,.494,15.0,—
1987,Divisional,NL East,Pittsburgh Pirates,80,82,.494,15.0,—
1987,Divisional,NL East,Chicago Cubs,76,85,.472,18.5,—
1987,Divisional,NL West,San Francisco Giants,90,72,.556,—,NL Champions; WS lost to Oakland
1987,Divisional,NL West,Cincinnati Reds,84,78,.519,6.0,—
1987,Divisional,NL West,Houston Astros,76,86,.469,14.0,—
1987,Divisional,NL West,Los Angeles Dodgers,73,89,.451,17.0,—
1987,Divisional,NL West,Atlanta Braves,69,92,.431,20.5,—
1987,Divisional,NL West,San Diego Padres,65,97,.401,25.0,—
1989,Divisional,NL East,Chicago Cubs,93,69,.574,—,NL Champions; WS lost to Oakland
1989,Divisional,NL East,New York Mets,87,75,.537,6.0,—
1989,Divisional,NL East,St. Louis Cardinals,86,76,.531,7.0,—
1989,Divisional,NL East,Montreal Expos,81,81,.500,12.0,—
1989,Divisional,NL East,Pittsburgh Pirates,74,88,.457,19.0,—
1989,Divisional,NL East,Philadelphia Phillies,67,95,.414,26.0,—
1989,Divisional,NL West,San Francisco Giants,92,70,.568,—,NL Champions; WS Champions vs Oakland
1989,Divisional,NL West,San Diego Padres,89,73,.549,3.0,—
1989,Divisional,NL West,Houston Astros,86,76,.531,6.0,—
1989,Divisional,NL West,Los Angeles Dodgers,77,83,.481,13.0,—
1989,Divisional,NL West,Cincinnati Reds,75,87,.463,16.0,—
1989,Divisional,NL West,Atlanta Braves,63,97,.394,26.0,—
1998,Divisional,NL Central,Houston Astros,102,60,.630,—,NL Champions; WS lost to New York
1998,Divisional,NL Central,Chicago Cubs,90,73,.552,9.0,—
1998,Divisional,NL Central,St. Louis Cardinals,83,79,.512,15.5,—
1998,Divisional,NL Central,Cincinnati Reds,77,85,.475,21.5,—
1998,Divisional,NL Central,Milwaukee Brewers,74,88,.457,24.5,—
1998,Divisional,NL Central,Pittsburgh Pirates,69,93,.426,29.5,—
1998,Divisional,NL East,Atlanta Braves,106,56,.654,—,NL Champions; WS lost to New York
1998,Divisional,NL East,New York Mets,88,74,.543,14.0,—
1998,Divisional,NL East,Philadelphia Phillies,75,87,.463,27.0,—
1998,Divisional,NL East,Montreal Expos,65,97,.401,37.0,—
1998,Divisional,NL East,Florida Marlins,54,108,.333,48.0,—
1998,Divisional,NL West,San Diego Padres,98,64,.605,—,NL Champions; WS lost to New York
1998,Divisional,NL West,San Francisco Giants,89,74,.546,9.5,—
1998,Divisional,NL West,Los Angeles Dodgers,83,79,.512,15.0,—
1998,Divisional,NL West,Colorado Rockies,77,85,.475,21.0,—
