year,nl_champion,nl_wins,nl_losses,nl_win_pct,ws_opponent,ws_result,ws_champion
1903,Pittsburgh Pirates,90,63,.588,Philadelphia Athletics,Lost 3-5,Philadelphia Athletics
1904,New York Giants,N/A,N/A,N/A,Boston Americans,Boycott,N/A
1905,New York Giants,92,59,.609,Philadelphia Athletics,Won 4-1,New York Giants
1906,Chicago Cubs,116,36,.763,Chicago White Sox,Lost 2-4,Chicago White Sox
1907,Chicago Cubs,107,45,.704,Detroit Tigers,Won 4-0,Chicago Cubs
1908,Chicago Cubs,99,55,.643,Detroit Tigers,Won 4-1,Chicago Cubs
1909,Pittsburgh Pirates,110,42,.724,Detroit Tigers,Won 4-3,Pittsburgh Pirates
1910,Chicago Cubs,104,50,.675,Philadelphia Athletics,Lost 1-4,Philadelphia Athletics
1911,New York Giants,99,54,.647,Philadelphia Athletics,Lost 2-4,Philadelphia Athletics
1912,New York Giants,103,48,.682,Boston Red Sox,Lost 2-4,Boston Red Sox
1913,New York Giants,101,51,.664,Philadelphia Athletics,Lost 2-4,Philadelphia Athletics
1914,Boston Braves,94,59,.614,Philadelphia Athletics,Lost 0-4,Philadelphia Athletics
1915,Philadelphia Phillies,90,62,.592,Boston Red Sox,Lost 1-4,Boston Red Sox
1916,Boston Robins,94,60,.610,Boston Red Sox,Lost 1-4,Boston Red Sox
1917,New York Giants,98,56,.636,Chicago White Sox,Lost 2-4,Chicago White Sox
1918,Chicago Cubs,84,57,.596,Boston Red Sox,Lost 2-4,Boston Red Sox
1919,Cincinnati Reds,96,44,.686,Chicago White Sox,Won 5-3,Cincinnati Reds
1920,Brooklyn Robins,93,61,.604,Cleveland Indians,Lost 2-5,Cleveland Indians
1921,New York Giants,94,59,.614,New York Yankees,Lost 2-5,New York Yankees
1922,New York Giants,93,61,.604,New York Yankees,Won 4-0,New York Giants
1923,New York Giants,95,58,.621,New York Yankees,Lost 2-6,New York Yankees
1924,New York Giants,93,60,.608,Washington Senators,Won 4-3,Washington Senators
1925,Pittsburgh Pirates,95,58,.621,Washington Senators,Won 4-3,Pittsburgh Pirates
1926,St. Louis Cardinals,89,65,.578,New York Yankees,Won 4-3,St. Louis Cardinals
1927,St. Louis Cardinals,92,61,.601,New York Yankees,Lost 0-4,New York Yankees
1928,St. Louis Cardinals,95,59,.617,New York Yankees,Lost 1-4,New York Yankees
1929,Chicago Cubs,84,70,.545,Philadelphia Athletics,Lost 1-4,Philadelphia Athletics
1930,St. Louis Cardinals,92,62,.597,Philadelphia Athletics,Lost 2-4,Philadelphia Athletics
1931,St. Louis Cardinals,101,53,.656,Philadelphia Athletics,Won 4-3,St. Louis Cardinals
1932,Chicago Cubs,90,64,.584,New York Yankees,Lost 0-4,New York Yankees
1933,New York Giants,91,61,.599,Washington Senators,Won 4-1,New York Giants
1934,St. Louis Cardinals,95,58,.621,Detroit Tigers,Won 4-3,St. Louis Cardinals
1935,Chicago Cubs,100,54,.649,Detroit Tigers,Lost 2-4,Detroit Tigers
1936,New York Giants,92,61,.601,New York Yankees,Lost 1-4,New York Yankees
1937,New York Giants,95,57,.625,New York Yankees,Lost 1-4,New York Yankees
1938,Chicago Cubs,89,63,.586,New York Yankees,Lost 1-4,New York Yankees
1939,Cincinnati Reds,97,57,.630,New York Yankees,Lost 0-4,New York Yankees
1940,Cincinnati Reds,100,53,.654,Detroit Tigers,Won 4-3,Cincinnati Reds
1941,Brooklyn Dodgers,100,54,.649,New York Yankees,Lost 1-4,New York Yankees
1942,St. Louis Cardinals,106,48,.688,New York Yankees,Won 4-1,St. Louis Cardinals
1943,St. Louis Cardinals,105,49,.682,New York Yankees,Lost 1-4,New York Yankees
1944,St. Louis Cardinals,105,49,.682,Baltimore Orioles,Won 4-2,St. Louis Cardinals
1945,Chicago Cubs,98,56,.636,Detroit Tigers,Won 4-3,Chicago Cubs
1946,St. Louis Cardinals,98,58,.628,Boston Red Sox,Won 4-3,St. Louis Cardinals
1947,Brooklyn Dodgers,94,58,.617,New York Yankees,Lost 3-4,New York Yankees
1948,Boston Braves,96,58,.623,Cleveland Indians,Lost 2-6,Cleveland Indians
1949,Brooklyn Dodgers,97,57,.630,New York Yankees,Lost 0-4,New York Yankees
1950,Boston Braves,94,58,.618,Philadelphia Phillies,Lost 0-4,Philadelphia Phillies
1951,Brooklyn Dodgers,97,57,.630,New York Yankees,Lost 2-6,New York Yankees
1952,Brooklyn Dodgers,96,57,.627,New York Yankees,Lost 3-4,New York Yankees
