Year,Champion,Record,WinPct,Key_Notes
2025,Los Angeles Dodgers,96-66,0.593,NL Champions; defeated Mets in NLCS
2024,Los Angeles Dodgers,98-64,0.605,NL Champions; defeated Phillies in NLCS
2023,Arizona Diamondbacks,84-78,0.519,Wild Card entry; swept in WS
2022,Philadelphia Phillies,87-75,0.537,Wild Card to WS Finalists
2021,Atlanta Braves,88-73,0.547,NLCS before WS run
2020,Los Angeles Dodgers,43-17,0.717,Shortened season; dominant
2019,Washington Nationals,93-69,0.574,Surprising title run
2018,Chicago Cubs,91-72,0.555,NL Central champions; lost WS
2017,Chicago Cubs,92-70,0.568,NLDS eliminated
2016,Chicago Cubs,103-58,0.642,First title in 108 years
2015,St. Louis Cardinals,100-62,0.617,NL Central champions; lost WS
2014,San Francisco Giants,88-74,0.543,Dentin era title
2013,St. Louis Cardinals,97-65,0.599,NL Central champions; lost NLCS
2012,San Francisco Giants,94-68,0.580,Second of three titles
2011,St. Louis Cardinals,90-72,0.556,Miracle CISCO run
2010,San Francisco Giants,92-70,0.568,Beat Rangers in WS
2009,Philadelphia Phillies,93-69,0.574,NL East champions; lost WS
2008,Philadelphia Phillies,92-70,0.568,NL East champions; lost WS
2007,Colorado Rockies,90-73,0.552,NL Wild Card; swept in WS
2006,St. Louis Cardinals,83-78,0.516,NL Central champs; won WS
2005,St. Louis Cardinals,100-60,0.625,NL Central champs; lost NLCS
2004,St. Louis Cardinals,105-57,0.648,NL Central champs; lost WS
2003,Florida Marlins,91-71,0.562,Wild Card; won WS
2002,San Francisco Giants,95-66,0.590,NL Wild Card; lost WS
2001,Arizona Diamondbacks,92-70,0.568,NL West champs; won WS
2000,New York Mets,94-68,0.580,NL Wild Card; lost WS
1999,Atlanta Braves,103-59,0.636,NL East champs; lost WS
1998,San Diego Padres,98-64,0.605,NL West champs; lost WS
1997,Florida Marlins,92-70,0.568,Wild Card; won WS
1996,Atlanta Braves,96-66,0.593,NL East champs; lost NLCS
1995,Atlanta Braves,90-54,0.625,NL West champs; won WS
1993,Philadelphia Phillies,97-65,0.599,NL East champs; lost WS
1992,Atlanta Braves,98-64,0.605,NL West champs; lost WS
1991,Atlanta Braves,94-68,0.580,NL West champs; lost WS
1990,Cincinnati Reds,91-71,0.562,NL champions; won WS
1989,San Francisco Giants,92-70,0.568,NL West champs; lost WS
1988,Los Angeles Dodgers,94-67,0.584,NL West champs; won WS
1987,St. Louis Cardinals,95-67,0.586,NL champions; lost WS
1986,New York Mets,108-54,0.667,NL champions; lost WS
1985,St. Louis Cardinals,101-61,0.623,NL champions; won WS
1984,San Diego Padres,92-70,0.568,NL West champs; lost WS
1983,Philadelphia Phillies,90-72,0.556,NL champions; won WS
1982,St. Louis Cardinals,92-70,0.568,NL champions; won WS
1981,Los Angeles Dodgers,63-47,0.573,Split season champs; won WS
1980,Philadelphia Phillies,91-71,0.562,NL champions; won WS
1979,Pittsburgh Pirates,98-64,0.605,NL champions; won WS
1978,Philadelphia Phillies,90-72,0.556,NL East champs
1977,Philadelphia Phillies,101-61,0.623,NL East champs
1976,Cincinnati Reds,102-60,0.630,NL champions; won WS
1975,Cincinnati Reds,108-54,0.667,NL champions; won WS
1974,Pittsburgh Pirates,88-74,0.543,NL East champs
1973,New York Mets,82-79,0.509,NL East champs
1972,Cincinnati Reds,95-59,0.617,NL West champs
1971,Pittsburgh Pirates,97-65,0.599,NL East champs
1970,Cincinnati Reds,102-60,0.630,NL West champs
1969,New York Mets,100-62,0.617,NL champions; won WS
1968,St. Louis Cardinals,97-65,0.599,NL champions
1967,St. Louis Cardinals,101-60,0.627,NL champions
1966,Los Angeles Dodgers,95-67,0.586,NL champions
1965,Los Angeles Dodgers,97-65,0.599,NL champions; won WS
1964,St. Louis Cardinals,93-69,0.574,NL champions
1963,Los Angeles Dodgers,99-63,0.611,NL champions; won WS
1962,San Francisco Giants,103-62,0.623,NL champions; lost WS
1961,Cincinnati Reds,93-61,0.604,NL West champions
1960,Pittsburgh Pirates,95-59,0.617,NL champions; won WS
